dataset,qid,question,failure_label,rewrite_type,rewrite_query
klue_mrc,klue_mrc_validation_q_000045,작년 대기업의 투자규모는 올해보다 얼마나 더 적었는가?,,structured,entity: 투자규모 대기업 얼마나 | intent: 숫자·시간 정보 | constraint: 작년
klue_mrc,klue_mrc_validation_q_000045,작년 대기업의 투자규모는 올해보다 얼마나 더 적었는가?,,llm,투자규모 대기업 얼마나 적었는 작년 올해 숫자·시간 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000100,22일 발표된 내용의 조사 마감일은?,numeric_temporal_mismatch,original,22일 발표된 내용의 조사 마감일은?
klue_mrc,klue_mrc_validation_q_000100,22일 발표된 내용의 조사 마감일은?,numeric_temporal_mismatch,keyword,22일 발표된 마감일 내용 조사
klue_mrc,klue_mrc_validation_q_000100,22일 발표된 내용의 조사 마감일은?,numeric_temporal_mismatch,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 22일 발표된 내용의 조사 마감일은?
klue_mrc,klue_mrc_validation_q_000100,22일 발표된 내용의 조사 마감일은?,numeric_temporal_mismatch,structured,entity: 22일 발표된 마감일 | intent: 정답 정보 | constraint: 22일 마감일
klue_mrc,klue_mrc_validation_q_000100,22일 발표된 내용의 조사 마감일은?,numeric_temporal_mismatch,llm,22일 발표된 마감일 내용 조사 정답 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000112,30대의 공감을 불러일으킨 드라마의 제목은?,numeric_temporal_mismatch,original,30대의 공감을 불러일으킨 드라마의 제목은?
klue_mrc,klue_mrc_validation_q_000112,30대의 공감을 불러일으킨 드라마의 제목은?,numeric_temporal_mismatch,keyword,불러일으킨 30대 드라마 공감 제목
klue_mrc,klue_mrc_validation_q_000112,30대의 공감을 불러일으킨 드라마의 제목은?,numeric_temporal_mismatch,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 30대의 공감을 불러일으킨 드라마의 제목은?
klue_mrc,klue_mrc_validation_q_000112,30대의 공감을 불러일으킨 드라마의 제목은?,numeric_temporal_mismatch,structured,entity: 불러일으킨 30대 드라마 | intent: 정답 정보 | constraint: 30대 불러일으킨
klue_mrc,klue_mrc_validation_q_000112,30대의 공감을 불러일으킨 드라마의 제목은?,numeric_temporal_mismatch,llm,불러일으킨 30대 드라마 공감 제목 정답 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000150,제 25회 한일재계회의가 개최된 도시는?,numeric_temporal_mismatch,original,제 25회 한일재계회의가 개최된 도시는?
klue_mrc,klue_mrc_validation_q_000150,제 25회 한일재계회의가 개최된 도시는?,numeric_temporal_mismatch,keyword,한일재계회의 25회 개최된 도시
klue_mrc,klue_mrc_validation_q_000150,제 25회 한일재계회의가 개최된 도시는?,numeric_temporal_mismatch,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 제 25회 한일재계회의가 개최된 도시는?
klue_mrc,klue_mrc_validation_q_000150,제 25회 한일재계회의가 개최된 도시는?,numeric_temporal_mismatch,structured,entity: 한일재계회의 25회 개최된 | intent: 장소·기관 | constraint: 25회 한일재계회의 개최된
klue_mrc,klue_mrc_validation_q_000150,제 25회 한일재계회의가 개최된 도시는?,numeric_temporal_mismatch,llm,한일재계회의 25회 개최된 도시 장소·기관 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000174,매해 연구개발 인력을 축소시키고 있다고 한 사람은?,,original,매해 연구개발 인력을 축소시키고 있다고 한 사람은?
klue_mrc,klue_mrc_validation_q_000174,매해 연구개발 인력을 축소시키고 있다고 한 사람은?,,keyword,축소시키고 연구개발 있다고 매해 인력 사람
klue_mrc,klue_mrc_validation_q_000174,매해 연구개발 인력을 축소시키고 있다고 한 사람은?,,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 매해 연구개발 인력을 축소시키고 있다고 한 사람은?
klue_mrc,klue_mrc_validation_q_000174,매해 연구개발 인력을 축소시키고 있다고 한 사람은?,,structured,entity: 축소시키고 연구개발 있다고 | intent: 인물·주체 | constraint: 연구개발
klue_mrc,klue_mrc_validation_q_000174,매해 연구개발 인력을 축소시키고 있다고 한 사람은?,,llm,축소시키고 연구개발 있다고 매해 인력 사람 인물·주체 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000176,김의장과 2011년 처음 만난 사람의 이름은?,numeric_temporal_mismatch,original,김의장과 2011년 처음 만난 사람의 이름은?
klue_mrc,klue_mrc_validation_q_000176,김의장과 2011년 처음 만난 사람의 이름은?,numeric_temporal_mismatch,keyword,2011년 김의장 처음 만난 사람 이름
klue_mrc,klue_mrc_validation_q_000176,김의장과 2011년 처음 만난 사람의 이름은?,numeric_temporal_mismatch,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 김의장과 2011년 처음 만난 사람의 이름은?
klue_mrc,klue_mrc_validation_q_000176,김의장과 2011년 처음 만난 사람의 이름은?,numeric_temporal_mismatch,structured,entity: 2011년 김의장 처음 | intent: 인물·주체 | constraint: 2011년
klue_mrc,klue_mrc_validation_q_000176,김의장과 2011년 처음 만난 사람의 이름은?,numeric_temporal_mismatch,llm,2011년 김의장 처음 만난 사람 이름 인물·주체 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000179,여러 번의 수기 시험을 통해 광고업 종사자를 뽑는 기업은?,lexical_mismatch,original,여러 번의 수기 시험을 통해 광고업 종사자를 뽑는 기업은?
klue_mrc,klue_mrc_validation_q_000179,여러 번의 수기 시험을 통해 광고업 종사자를 뽑는 기업은?,lexical_mismatch,keyword,광고업 종사자 여러 번의 수기 시험 통해 뽑는 기업
klue_mrc,klue_mrc_validation_q_000179,여러 번의 수기 시험을 통해 광고업 종사자를 뽑는 기업은?,lexical_mismatch,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 여러 번의 수기 시험을 통해 광고업 종사자를 뽑는 기업은?
klue_mrc,klue_mrc_validation_q_000179,여러 번의 수기 시험을 통해 광고업 종사자를 뽑는 기업은?,lexical_mismatch,structured,entity: 광고업 종사자 여러 | intent: 숫자·시간 정보 | constraint: 번의
klue_mrc,klue_mrc_validation_q_000179,여러 번의 수기 시험을 통해 광고업 종사자를 뽑는 기업은?,lexical_mismatch,llm,광고업 종사자 여러 번의 수기 시험 통해 뽑는 기업 숫자·시간 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000216,무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?,lexical_mismatch,original,무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?
klue_mrc,klue_mrc_validation_q_000216,무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?,lexical_mismatch,keyword,설치되어 늘어났는 표시기 아래 개
klue_mrc,klue_mrc_validation_q_000216,무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?,lexical_mismatch,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?
klue_mrc,klue_mrc_validation_q_000216,무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?,lexical_mismatch,structured,entity: 설치되어 늘어났는 표시기 | intent: 숫자·시간 정보 | constraint: 개
klue_mrc,klue_mrc_validation_q_000216,무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?,lexical_mismatch,llm,설치되어 늘어났는 표시기 아래 개 숫자·시간 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000227,에드로안의 통치를 칭찬한 매체는?,missing_key_term,original,에드로안의 통치를 칭찬한 매체는?
klue_mrc,klue_mrc_validation_q_000227,에드로안의 통치를 칭찬한 매체는?,missing_key_term,keyword,에드로안 칭찬한 통치 매체
klue_mrc,klue_mrc_validation_q_000227,에드로안의 통치를 칭찬한 매체는?,missing_key_term,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 에드로안의 통치를 칭찬한 매체는?
klue_mrc,klue_mrc_validation_q_000227,에드로안의 통치를 칭찬한 매체는?,missing_key_term,structured,entity: 에드로안 칭찬한 통치 | intent: 정답 정보 | constraint: missing_key_term
klue_mrc,klue_mrc_validation_q_000227,에드로안의 통치를 칭찬한 매체는?,missing_key_term,llm,에드로안 칭찬한 통치 매체 정답 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000249,여성 작가들만의 권리를 보호해주는 단체의 이름은?,,original,여성 작가들만의 권리를 보호해주는 단체의 이름은?
klue_mrc,klue_mrc_validation_q_000249,여성 작가들만의 권리를 보호해주는 단체의 이름은?,,keyword,작가들만 보호해주 여성 권리 단체 이름
klue_mrc,klue_mrc_validation_q_000249,여성 작가들만의 권리를 보호해주는 단체의 이름은?,,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 여성 작가들만의 권리를 보호해주는 단체의 이름은?
klue_mrc,klue_mrc_validation_q_000249,여성 작가들만의 권리를 보호해주는 단체의 이름은?,,structured,entity: 작가들만 보호해주 여성 | intent: 인물·주체 | constraint: high
klue_mrc,klue_mrc_validation_q_000249,여성 작가들만의 권리를 보호해주는 단체의 이름은?,,llm,작가들만 보호해주 여성 권리 단체 이름 인물·주체 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000263,경제협력개발기구에 가입된 국가수는?,missing_key_term,original,경제협력개발기구에 가입된 국가수는?
klue_mrc,klue_mrc_validation_q_000263,경제협력개발기구에 가입된 국가수는?,missing_key_term,keyword,경제협력개발기구 가입된 국가수
klue_mrc,klue_mrc_validation_q_000263,경제협력개발기구에 가입된 국가수는?,missing_key_term,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 경제협력개발기구에 가입된 국가수는?
klue_mrc,klue_mrc_validation_q_000263,경제협력개발기구에 가입된 국가수는?,missing_key_term,structured,entity: 경제협력개발기구 가입된 국가수 | intent: 숫자·시간 정보 | constraint: 경제협력개발기구
klue_mrc,klue_mrc_validation_q_000263,경제협력개발기구에 가입된 국가수는?,missing_key_term,llm,경제협력개발기구 가입된 국가수 숫자·시간 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000277,전세값 오름세가 본격화 된 계기가 된 사건은?,,original,전세값 오름세가 본격화 된 계기가 된 사건은?
klue_mrc,klue_mrc_validation_q_000277,전세값 오름세가 본격화 된 계기가 된 사건은?,,keyword,전세값 오름세 본격화 계기 사건
klue_mrc,klue_mrc_validation_q_000277,전세값 오름세가 본격화 된 계기가 된 사건은?,,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 전세값 오름세가 본격화 된 계기가 된 사건은?
klue_mrc,klue_mrc_validation_q_000277,전세값 오름세가 본격화 된 계기가 된 사건은?,,structured,entity: 전세값 오름세 본격화 | intent: 이유·원인 | constraint: high
klue_mrc,klue_mrc_validation_q_000277,전세값 오름세가 본격화 된 계기가 된 사건은?,,llm,전세값 오름세 본격화 계기 사건 이유·원인 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000282,공정거래법의 바뀐 명칭은?,missing_key_term,original,공정거래법의 바뀐 명칭은?
klue_mrc,klue_mrc_validation_q_000282,공정거래법의 바뀐 명칭은?,missing_key_term,keyword,공정거래법 바뀐 명칭
klue_mrc,klue_mrc_validation_q_000282,공정거래법의 바뀐 명칭은?,missing_key_term,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 공정거래법의 바뀐 명칭은?
klue_mrc,klue_mrc_validation_q_000282,공정거래법의 바뀐 명칭은?,missing_key_term,structured,entity: 공정거래법 바뀐 명칭 | intent: 정답 정보 | constraint: 명칭
klue_mrc,klue_mrc_validation_q_000282,공정거래법의 바뀐 명칭은?,missing_key_term,llm,공정거래법 바뀐 명칭 정답 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000296,독일에서 수사영장을 발급하는데 걸리는 시간은 며칠인가?,,original,독일에서 수사영장을 발급하는데 걸리는 시간은 며칠인가?
klue_mrc,klue_mrc_validation_q_000296,독일에서 수사영장을 발급하는데 걸리는 시간은 며칠인가?,,keyword,발급하는데 수사영장 며칠인 독일 걸리 시간
klue_mrc,klue_mrc_validation_q_000296,독일에서 수사영장을 발급하는데 걸리는 시간은 며칠인가?,,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 독일에서 수사영장을 발급하는데 걸리는 시간은 며칠인가?
klue_mrc,klue_mrc_validation_q_000296,독일에서 수사영장을 발급하는데 걸리는 시간은 며칠인가?,,structured,entity: 발급하는데 수사영장 며칠인 | intent: 숫자·시간 정보 | constraint: 독일 시간
klue_mrc,klue_mrc_validation_q_000296,독일에서 수사영장을 발급하는데 걸리는 시간은 며칠인가?,,llm,발급하는데 수사영장 며칠인 독일 걸리 시간 숫자·시간 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000322,현재까지의 아파트들 중 가장 높은 분양가를 자랑했던 곳은?,lexical_mismatch,original,현재까지의 아파트들 중 가장 높은 분양가를 자랑했던 곳은?
klue_mrc,klue_mrc_validation_q_000322,현재까지의 아파트들 중 가장 높은 분양가를 자랑했던 곳은?,lexical_mismatch,keyword,현재까지 아파트들 자랑했던 분양가 가장 높은 곳은
klue_mrc,klue_mrc_validation_q_000322,현재까지의 아파트들 중 가장 높은 분양가를 자랑했던 곳은?,lexical_mismatch,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 현재까지의 아파트들 중 가장 높은 분양가를 자랑했던 곳은?
klue_mrc,klue_mrc_validation_q_000322,현재까지의 아파트들 중 가장 높은 분양가를 자랑했던 곳은?,lexical_mismatch,structured,entity: 현재까지 아파트들 자랑했던 | intent: 정답 정보 | constraint: lexical_mismatch
klue_mrc,klue_mrc_validation_q_000322,현재까지의 아파트들 중 가장 높은 분양가를 자랑했던 곳은?,lexical_mismatch,llm,현재까지 아파트들 자랑했던 분양가 가장 높은 곳은 정답 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000354,"GM, 르노와 거래를 하고 있는 회사의 이름은?",lexical_mismatch,original,"GM, 르노와 거래를 하고 있는 회사의 이름은?"
klue_mrc,klue_mrc_validation_q_000354,"GM, 르노와 거래를 하고 있는 회사의 이름은?",lexical_mismatch,keyword,gm 르노 거래 하고 있는 회사 이름
klue_mrc,klue_mrc_validation_q_000354,"GM, 르노와 거래를 하고 있는 회사의 이름은?",lexical_mismatch,prompt_style,"다음 질문의 답을 찾기 위한 문서를 검색한다: GM, 르노와 거래를 하고 있는 회사의 이름은?"
klue_mrc,klue_mrc_validation_q_000354,"GM, 르노와 거래를 하고 있는 회사의 이름은?",lexical_mismatch,structured,entity: gm 르노 거래 | intent: 인물·주체 | constraint: lexical_mismatch
klue_mrc,klue_mrc_validation_q_000354,"GM, 르노와 거래를 하고 있는 회사의 이름은?",lexical_mismatch,llm,gm 르노 거래 하고 있는 회사 이름 인물·주체 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000355,전년 동기보다 수입이 92.9% 증가한 곳의 지명은?,numeric_temporal_mismatch,original,전년 동기보다 수입이 92.9% 증가한 곳의 지명은?
klue_mrc,klue_mrc_validation_q_000355,전년 동기보다 수입이 92.9% 증가한 곳의 지명은?,numeric_temporal_mismatch,keyword,증가한 전년 동기 수입 92 곳의 지명 9
klue_mrc,klue_mrc_validation_q_000355,전년 동기보다 수입이 92.9% 증가한 곳의 지명은?,numeric_temporal_mismatch,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 전년 동기보다 수입이 92.9% 증가한 곳의 지명은?
klue_mrc,klue_mrc_validation_q_000355,전년 동기보다 수입이 92.9% 증가한 곳의 지명은?,numeric_temporal_mismatch,structured,entity: 증가한 전년 동기 | intent: 숫자·시간 정보 | constraint: 전년 92 9 지명
klue_mrc,klue_mrc_validation_q_000355,전년 동기보다 수입이 92.9% 증가한 곳의 지명은?,numeric_temporal_mismatch,llm,증가한 전년 동기 수입 92 곳의 지명 9 숫자·시간 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000361,송재희 단장이 속한 단체가 만들어진 것은 몇 월인가?,lexical_mismatch,original,송재희 단장이 속한 단체가 만들어진 것은 몇 월인가?
klue_mrc,klue_mrc_validation_q_000361,송재희 단장이 속한 단체가 만들어진 것은 몇 월인가?,lexical_mismatch,keyword,만들어진 송재희 단장 속한 단체 것은 월인 몇
klue_mrc,klue_mrc_validation_q_000361,송재희 단장이 속한 단체가 만들어진 것은 몇 월인가?,lexical_mismatch,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 송재희 단장이 속한 단체가 만들어진 것은 몇 월인가?
klue_mrc,klue_mrc_validation_q_000361,송재희 단장이 속한 단체가 만들어진 것은 몇 월인가?,lexical_mismatch,structured,entity: 만들어진 송재희 단장 | intent: 숫자·시간 정보 | constraint: 몇 월인
klue_mrc,klue_mrc_validation_q_000361,송재희 단장이 속한 단체가 만들어진 것은 몇 월인가?,lexical_mismatch,llm,만들어진 송재희 단장 속한 단체 것은 월인 몇 숫자·시간 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000421,고부가가치 시장에서 선보일 후판의 재료는?,,original,고부가가치 시장에서 선보일 후판의 재료는?
klue_mrc,klue_mrc_validation_q_000421,고부가가치 시장에서 선보일 후판의 재료는?,,keyword,고부가가치 선보일 시장 후판 재료
klue_mrc,klue_mrc_validation_q_000421,고부가가치 시장에서 선보일 후판의 재료는?,,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 고부가가치 시장에서 선보일 후판의 재료는?
klue_mrc,klue_mrc_validation_q_000421,고부가가치 시장에서 선보일 후판의 재료는?,,structured,entity: 고부가가치 선보일 시장 | intent: 정답 정보 | constraint: 선보일
klue_mrc,klue_mrc_validation_q_000421,고부가가치 시장에서 선보일 후판의 재료는?,,llm,고부가가치 선보일 시장 후판 재료 정답 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000450,한국감정원이 매각한 사옥은 어느 동에 있던 것인가?,,original,한국감정원이 매각한 사옥은 어느 동에 있던 것인가?
klue_mrc,klue_mrc_validation_q_000450,한국감정원이 매각한 사옥은 어느 동에 있던 것인가?,,keyword,한국감정원 매각한 사옥 동에 있던 것인
klue_mrc,klue_mrc_validation_q_000450,한국감정원이 매각한 사옥은 어느 동에 있던 것인가?,,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 한국감정원이 매각한 사옥은 어느 동에 있던 것인가?
klue_mrc,klue_mrc_validation_q_000450,한국감정원이 매각한 사옥은 어느 동에 있던 것인가?,,structured,entity: 한국감정원 매각한 사옥 | intent: 정답 정보 | constraint: high
klue_mrc,klue_mrc_validation_q_000450,한국감정원이 매각한 사옥은 어느 동에 있던 것인가?,,llm,한국감정원 매각한 사옥 동에 있던 것인 정답 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000455,강형주 씨의 출신 고등학교가 위치한 도시는?,,original,강형주 씨의 출신 고등학교가 위치한 도시는?
klue_mrc,klue_mrc_validation_q_000455,강형주 씨의 출신 고등학교가 위치한 도시는?,,keyword,고등학교 강형주 위치한 씨의 출신 도시
klue_mrc,klue_mrc_validation_q_000455,강형주 씨의 출신 고등학교가 위치한 도시는?,,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 강형주 씨의 출신 고등학교가 위치한 도시는?
klue_mrc,klue_mrc_validation_q_000455,강형주 씨의 출신 고등학교가 위치한 도시는?,,structured,entity: 고등학교 강형주 위치한 | intent: 장소·기관 | constraint: 위치한
klue_mrc,klue_mrc_validation_q_000455,강형주 씨의 출신 고등학교가 위치한 도시는?,,llm,고등학교 강형주 위치한 씨의 출신 도시 장소·기관 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000456,내년 인하가 예견되는 것은?,missing_key_term,original,내년 인하가 예견되는 것은?
klue_mrc,klue_mrc_validation_q_000456,내년 인하가 예견되는 것은?,missing_key_term,keyword,내년 인하 예견 것은
klue_mrc,klue_mrc_validation_q_000456,내년 인하가 예견되는 것은?,missing_key_term,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 내년 인하가 예견되는 것은?
klue_mrc,klue_mrc_validation_q_000456,내년 인하가 예견되는 것은?,missing_key_term,structured,entity: 내년 인하 예견 | intent: 정답 정보 | constraint: 내년
klue_mrc,klue_mrc_validation_q_000456,내년 인하가 예견되는 것은?,missing_key_term,llm,내년 인하 예견 것은 정답 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000476,미국에서 고생하는 윤치호를 보듬어 준 것은 누구인가?,,original,미국에서 고생하는 윤치호를 보듬어 준 것은 누구인가?
klue_mrc,klue_mrc_validation_q_000476,미국에서 고생하는 윤치호를 보듬어 준 것은 누구인가?,,keyword,윤치호 보듬어 누구인 미국 고생 것은
klue_mrc,klue_mrc_validation_q_000476,미국에서 고생하는 윤치호를 보듬어 준 것은 누구인가?,,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 미국에서 고생하는 윤치호를 보듬어 준 것은 누구인가?
klue_mrc,klue_mrc_validation_q_000476,미국에서 고생하는 윤치호를 보듬어 준 것은 누구인가?,,structured,entity: 윤치호 보듬어 누구인 | intent: 인물·주체 | constraint: high
klue_mrc,klue_mrc_validation_q_000476,미국에서 고생하는 윤치호를 보듬어 준 것은 누구인가?,,llm,윤치호 보듬어 누구인 미국 고생 것은 인물·주체 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000507,내년 3월 임기가 끝나는 사람의 이름은?,numeric_temporal_mismatch,original,내년 3월 임기가 끝나는 사람의 이름은?
klue_mrc,klue_mrc_validation_q_000507,내년 3월 임기가 끝나는 사람의 이름은?,numeric_temporal_mismatch,keyword,내년 3월 임기 끝나 사람 이름
klue_mrc,klue_mrc_validation_q_000507,내년 3월 임기가 끝나는 사람의 이름은?,numeric_temporal_mismatch,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 내년 3월 임기가 끝나는 사람의 이름은?
klue_mrc,klue_mrc_validation_q_000507,내년 3월 임기가 끝나는 사람의 이름은?,numeric_temporal_mismatch,structured,entity: 내년 3월 임기 | intent: 인물·주체 | constraint: 내년 3월
klue_mrc,klue_mrc_validation_q_000507,내년 3월 임기가 끝나는 사람의 이름은?,numeric_temporal_mismatch,llm,내년 3월 임기 끝나 사람 이름 인물·주체 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000520,척수근육 위축증을 가진 인물이 참여한 팀의 명칭은?,,original,척수근육 위축증을 가진 인물이 참여한 팀의 명칭은?
klue_mrc,klue_mrc_validation_q_000520,척수근육 위축증을 가진 인물이 참여한 팀의 명칭은?,,keyword,척수근육 위축증 참여한 가진 인물 팀의 명칭
klue_mrc,klue_mrc_validation_q_000520,척수근육 위축증을 가진 인물이 참여한 팀의 명칭은?,,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 척수근육 위축증을 가진 인물이 참여한 팀의 명칭은?
klue_mrc,klue_mrc_validation_q_000520,척수근육 위축증을 가진 인물이 참여한 팀의 명칭은?,,structured,entity: 척수근육 위축증 참여한 | intent: 숫자·시간 정보 | constraint: 위축증 명칭
klue_mrc,klue_mrc_validation_q_000520,척수근육 위축증을 가진 인물이 참여한 팀의 명칭은?,,llm,척수근육 위축증 참여한 가진 인물 팀의 명칭 숫자·시간 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000546,국내 정유시장의 잠재력을 높이 평가한 사람은?,,original,국내 정유시장의 잠재력을 높이 평가한 사람은?
klue_mrc,klue_mrc_validation_q_000546,국내 정유시장의 잠재력을 높이 평가한 사람은?,,keyword,정유시장 잠재력 평가한 국내 높이 사람
klue_mrc,klue_mrc_validation_q_000546,국내 정유시장의 잠재력을 높이 평가한 사람은?,,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 국내 정유시장의 잠재력을 높이 평가한 사람은?
klue_mrc,klue_mrc_validation_q_000546,국내 정유시장의 잠재력을 높이 평가한 사람은?,,structured,entity: 정유시장 잠재력 평가한 | intent: 인물·주체 | constraint: high
klue_mrc,klue_mrc_validation_q_000546,국내 정유시장의 잠재력을 높이 평가한 사람은?,,llm,정유시장 잠재력 평가한 국내 높이 사람 인물·주체 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000561,주민들의 대피를 도왔던 사람의 이름은 무엇인가요?,,original,주민들의 대피를 도왔던 사람의 이름은 무엇인가요?
klue_mrc,klue_mrc_validation_q_000561,주민들의 대피를 도왔던 사람의 이름은 무엇인가요?,,keyword,무엇인가요 주민들 도왔던 대피 사람 이름
