dataset,qid,question_type,question,answer,gold_doc_id,gold_rank,top10_doc_ids,failed_retrievers,failure_type,failure_label,secondary_failure_label,needs_gold_check,annotation_note,annotator,annotated
korquad1,korquad1_dev_q_002259,numeric,좋은 기록은 세운 선수를 부르는 말은?,링마이스터,korquad1_dev_000339,,"[""korquad1_dev_000554"", ""korquad1_dev_000623"", ""korquad1_dev_000070"", ""korquad1_dev_000696"", ""korquad1_dev_000071"", ""korquad1_dev_000663"", ""korquad1_dev_000072"", ""korquad1_dev_000661"", ""korquad1_dev_000047"", ""korquad1_dev_000668""]","[""dense"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_002406,who,델타블루스에 아버지라고 불리는 사람이 누구인가요?,찰리 패튼,korquad1_dev_000359,,"[""korquad1_dev_000517"", ""korquad1_dev_000397"", ""korquad1_dev_000917"", ""korquad1_dev_000731"", ""korquad1_dev_000918"", ""korquad1_dev_000368"", ""korquad1_dev_000827"", ""korquad1_dev_000916"", ""korquad1_dev_000247"", ""korquad1_dev_000920""]","[""bm25"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_002589,other,바이오쇼크 게임 내의 화폐 단위는?,ADAM,korquad1_dev_000391,,"[""korquad1_dev_000403"", ""korquad1_dev_000406"", ""korquad1_dev_000405"", ""korquad1_dev_000398"", ""korquad1_dev_000176"", ""korquad1_dev_000399"", ""korquad1_dev_000402"", ""korquad1_dev_000404"", ""korquad1_dev_000408"", ""korquad1_dev_000215""]","[""bm25"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_002598,numeric,바이오쇼크에 나오는 수중도시의 이름은?,랩쳐,korquad1_dev_000392,,"[""korquad1_dev_000406"", ""korquad1_dev_000403"", ""korquad1_dev_000398"", ""korquad1_dev_000405"", ""korquad1_dev_000401"", ""korquad1_dev_000399"", ""korquad1_dev_000407"", ""korquad1_dev_000397"", ""korquad1_dev_000404"", ""korquad1_dev_000408""]","[""bm25"", ""dense"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_002659,other,바이오쇼크를 만들어낸 회사 이름은?,2K 게임즈,korquad1_dev_000402,,"[""korquad1_dev_000406"", ""korquad1_dev_000405"", ""korquad1_dev_000398"", ""korquad1_dev_000403"", ""korquad1_dev_000401"", ""korquad1_dev_000407"", ""korquad1_dev_000183"", ""korquad1_dev_000399"", ""korquad1_dev_000397"", ""korquad1_dev_000408""]","[""bm25"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_002957,who,1995년 사회민주주의 청년연맹 사건으로 구속 기소된 사람은?,최형록,korquad1_dev_000442,,"[""korquad1_dev_000563"", ""korquad1_dev_000615"", ""korquad1_dev_000853"", ""korquad1_dev_000171"", ""korquad1_dev_000484"", ""korquad1_dev_000871"", ""korquad1_dev_000382"", ""korquad1_dev_000485"", ""korquad1_dev_000847"", ""korquad1_dev_000859""]","[""bm25"", ""dense"", ""hybrid""]",temporal_numeric,,,False,,,False
korquad1,korquad1_dev_q_002979,other,10월 20일 시행 되었던 것은?,김대중후보의 비자금 수사,korquad1_dev_000445,,"[""korquad1_dev_000326"", ""korquad1_dev_000842"", ""korquad1_dev_000781"", ""korquad1_dev_000849"", ""korquad1_dev_000324"", ""korquad1_dev_000758"", ""korquad1_dev_000589"", ""korquad1_dev_000260"", ""korquad1_dev_000576"", ""korquad1_dev_000595""]","[""bm25"", ""dense"", ""hybrid""]",temporal_numeric,,,False,,,False
korquad1,korquad1_dev_q_002986,where,김영삼은 어디를 탈당하였나?,신한국당,korquad1_dev_000446,,"[""korquad1_dev_000833"", ""korquad1_dev_000831"", ""korquad1_dev_000832"", ""korquad1_dev_000841"", ""korquad1_dev_000855"", ""korquad1_dev_000835"", ""korquad1_dev_000447"", ""korquad1_dev_000856"", ""korquad1_dev_000850"", ""korquad1_dev_000848""]","[""bm25"", ""dense"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_002987,other,11월 21일 진행되었던 회의는?,합당합동회의,korquad1_dev_000446,,"[""korquad1_dev_000260"", ""korquad1_dev_000791"", ""korquad1_dev_000782"", ""korquad1_dev_000118"", ""korquad1_dev_000595"", ""korquad1_dev_000759"", ""korquad1_dev_000191"", ""korquad1_dev_000283"", ""korquad1_dev_000590"", ""korquad1_dev_000749""]","[""dense"", ""hybrid""]",temporal_numeric,,,False,,,False
korquad1,korquad1_dev_q_003165,other,이명박 정부가 내세운 이론은?,금융중심지론,korquad1_dev_000476,,"[""korquad1_dev_000261"", ""korquad1_dev_000270"", ""korquad1_dev_000271"", ""korquad1_dev_000290"", ""korquad1_dev_000277"", ""korquad1_dev_000480"", ""korquad1_dev_000284"", ""korquad1_dev_000486"", ""korquad1_dev_000249"", ""korquad1_dev_000259""]","[""bm25"", ""dense"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_003201,where,1978년 허위사실 유포죄를 폐지한 국가는?,파나마,korquad1_dev_000483,,"[""korquad1_dev_000475"", ""korquad1_dev_000380"", ""korquad1_dev_000594"", ""korquad1_dev_000128"", ""korquad1_dev_000446"", ""korquad1_dev_000823"", ""korquad1_dev_000753"", ""korquad1_dev_000316"", ""korquad1_dev_000311"", ""korquad1_dev_000319""]","[""bm25"", ""hybrid""]",temporal_numeric,,,False,,,False
korquad1,korquad1_dev_q_003300,other,유아인의 고향은?,대구,korquad1_dev_000500,,"[""korquad1_dev_000505"", ""korquad1_dev_000494"", ""korquad1_dev_000503"", ""korquad1_dev_000502"", ""korquad1_dev_000498"", ""korquad1_dev_000501"", ""korquad1_dev_000496"", ""korquad1_dev_000495"", ""korquad1_dev_000511"", ""korquad1_dev_000507""]","[""bm25"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_003301,other,유아인이 2013년에 출연한 드라마 장옥정사랑에살다 에서 맡은 역은?,숙종,korquad1_dev_000500,,"[""korquad1_dev_000153"", ""korquad1_dev_000502"", ""korquad1_dev_000504"", ""korquad1_dev_000499"", ""korquad1_dev_000697"", ""korquad1_dev_000587"", ""korquad1_dev_000503"", ""korquad1_dev_000878"", ""korquad1_dev_000506"", ""korquad1_dev_000511""]","[""bm25"", ""hybrid""]",temporal_numeric,,,False,,,False
korquad1,korquad1_dev_q_003499,other,방탄소년단이 데뷔 3년만에 입성한 곳은?,올림픽체조경기장,korquad1_dev_000537,,"[""korquad1_dev_000529"", ""korquad1_dev_000538"", ""korquad1_dev_000528"", ""korquad1_dev_000530"", ""korquad1_dev_000533"", ""korquad1_dev_000531"", ""korquad1_dev_000524"", ""korquad1_dev_000541"", ""korquad1_dev_000546"", ""korquad1_dev_000547""]","[""bm25"", ""hybrid""]",temporal_numeric,,,False,,,False
korquad1,korquad1_dev_q_003550,other,김영대의 직업은?,대중음악평론가,korquad1_dev_000548,,"[""korquad1_dev_000612"", ""korquad1_dev_000869"", ""korquad1_dev_000679"", ""korquad1_dev_000838"", ""korquad1_dev_000840"", ""korquad1_dev_000135"", ""korquad1_dev_000827"", ""korquad1_dev_000410"", ""korquad1_dev_000482"", ""korquad1_dev_000850""]","[""dense"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_004024,what,차범근은 어떤 위업을 달성하였는가?,5회 연속 월드컵 진출,korquad1_dev_000627,,"[""korquad1_dev_000625"", ""korquad1_dev_000623"", ""korquad1_dev_000624"", ""korquad1_dev_000243"", ""korquad1_dev_000441"", ""korquad1_dev_000562"", ""korquad1_dev_000826"", ""korquad1_dev_000244"", ""korquad1_dev_000021"", ""korquad1_dev_000452""]","[""dense"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_004258,numeric,박기혁은 어떤 상을 수상했었는가?,골든글러브,korquad1_dev_000662,,"[""korquad1_dev_000663"", ""korquad1_dev_000679"", ""korquad1_dev_000698"", ""korquad1_dev_000405"", ""korquad1_dev_000200"", ""korquad1_dev_000528"", ""korquad1_dev_000691"", ""korquad1_dev_000061"", ""korquad1_dev_000664"", ""korquad1_dev_000693""]","[""dense"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_004259,other,현대 유니콘스가 해체된 날은?,3월 10일,korquad1_dev_000662,,"[""korquad1_dev_000661"", ""korquad1_dev_000625"", ""korquad1_dev_000628"", ""korquad1_dev_000226"", ""korquad1_dev_000810"", ""korquad1_dev_000338"", ""korquad1_dev_000753"", ""korquad1_dev_000263"", ""korquad1_dev_000285"", ""korquad1_dev_000435""]","[""dense"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_004318,other,하현우가 되고싶어하는 직업은?,시인,korquad1_dev_000672,,"[""korquad1_dev_000612"", ""korquad1_dev_000149"", ""korquad1_dev_000243"", ""korquad1_dev_000506"", ""korquad1_dev_000497"", ""korquad1_dev_000724"", ""korquad1_dev_000505"", ""korquad1_dev_000623"", ""korquad1_dev_000710"", ""korquad1_dev_000698""]","[""bm25"", ""dense"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_004535,who,새로 옹립된 히사미쓰마루를 기르던 사람은?,고데라 씨(小寺氏),korquad1_dev_000704,,"[""korquad1_dev_000728"", ""korquad1_dev_000759"", ""korquad1_dev_000802"", ""korquad1_dev_000755"", ""korquad1_dev_000781"", ""korquad1_dev_000786"", ""korquad1_dev_000740"", ""korquad1_dev_000954"", ""korquad1_dev_000768"", ""korquad1_dev_000749""]","[""bm25"", ""dense"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_004562,other,오세훈이 최열대표와 함께 창립한 기구는?,환경운동연합,korquad1_dev_000709,,"[""korquad1_dev_000712"", ""korquad1_dev_000723"", ""korquad1_dev_000714"", ""korquad1_dev_000721"", ""korquad1_dev_000710"", ""korquad1_dev_000719"", ""korquad1_dev_000715"", ""korquad1_dev_000716"", ""korquad1_dev_000708"", ""korquad1_dev_000722""]","[""bm25"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_004807,what,"일본은 전쟁을 시작하며 미국, 영국에 무엇을 했나?",선전포고,korquad1_dev_000783,,"[""korquad1_dev_000770"", ""korquad1_dev_000772"", ""korquad1_dev_000807"", ""korquad1_dev_000823"", ""korquad1_dev_000817"", ""korquad1_dev_000781"", ""korquad1_dev_000773"", ""korquad1_dev_000816"", ""korquad1_dev_000738"", ""korquad1_dev_000821""]","[""bm25"", ""dense"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_004894,other,김영삼이 대통령으로 당선된 후 출범한 정부 이름은?,문민 정부,korquad1_dev_000825,,"[""korquad1_dev_000446"", ""korquad1_dev_000846"", ""korquad1_dev_000855"", ""korquad1_dev_000270"", ""korquad1_dev_000853"", ""korquad1_dev_000848"", ""korquad1_dev_000826"", ""korquad1_dev_000856"", ""korquad1_dev_000850"", ""korquad1_dev_000827""]","[""bm25"", ""dense"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_004902,other,김영삼의 사망 직전 가지고 있던 질환은?,혈액감염,korquad1_dev_000826,,"[""korquad1_dev_000840"", ""korquad1_dev_000865"", ""korquad1_dev_000847"", ""korquad1_dev_000831"", ""korquad1_dev_000841"", ""korquad1_dev_000835"", ""korquad1_dev_000832"", ""korquad1_dev_000833"", ""korquad1_dev_000856"", ""korquad1_dev_000850""]","[""bm25"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_004916,other,김영삼의 출생일은?,1927년 12월 20일,korquad1_dev_000827,,"[""korquad1_dev_000831"", ""korquad1_dev_000832"", ""korquad1_dev_000841"", ""korquad1_dev_000855"", ""korquad1_dev_000835"", ""korquad1_dev_000833"", ""korquad1_dev_000856"", ""korquad1_dev_000872"", ""korquad1_dev_000846"", ""korquad1_dev_000850""]","[""bm25"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_004996,other,김영삼이 미국에서 귀국하게 된 계기는?,유신선포,korquad1_dev_000839,,"[""korquad1_dev_000847"", ""korquad1_dev_000855"", ""korquad1_dev_000841"", ""korquad1_dev_000842"", ""korquad1_dev_000853"", ""korquad1_dev_000856"", ""korquad1_dev_000867"", ""korquad1_dev_000831"", ""korquad1_dev_000832"", ""korquad1_dev_000833""]","[""bm25"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_005065,who,당시 노태우 정부의 감시 사실을 밝힌 인물의 이름은?,윤석양,korquad1_dev_000849,,"[""korquad1_dev_000440"", ""korquad1_dev_000458"", ""korquad1_dev_000860"", ""korquad1_dev_000870"", ""korquad1_dev_000459"", ""korquad1_dev_000861"", ""korquad1_dev_000306"", ""korquad1_dev_000444"", ""korquad1_dev_000848"", ""korquad1_dev_000859""]","[""bm25"", ""hybrid""]",expression_mismatch,,,False,,,False
korquad1,korquad1_dev_q_005072,other,당시 김대중과 김영삼이 속해 있던 당은?,야당,korquad1_dev_000850,,"[""korquad1_dev_000833"", ""korquad1_dev_000446"", ""korquad1_dev_000459"", ""korquad1_dev_000306"", ""korquad1_dev_000843"", ""korquad1_dev_000851"", ""korquad1_dev_000838"", ""korquad1_dev_000861"", ""korquad1_dev_000447"", ""korquad1_dev_000844""]","[""bm25"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_005078,other,김영삼을 대통령으로 만든 문구는?,우리가 남이가,korquad1_dev_000851,,"[""korquad1_dev_000848"", ""korquad1_dev_000856"", ""korquad1_dev_000446"", ""korquad1_dev_000850"", ""korquad1_dev_000855"", ""korquad1_dev_000444"", ""korquad1_dev_000833"", ""korquad1_dev_000843"", ""korquad1_dev_000835"", ""korquad1_dev_000306""]","[""bm25"", ""dense"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_005119,when,김영삼 정부의 지방자치제도 확대 이후 시작된 지방 선거유세는 언제였는가?,1995년 5월,korquad1_dev_000858,,"[""korquad1_dev_000845"", ""korquad1_dev_000846"", ""korquad1_dev_000826"", ""korquad1_dev_000447"", ""korquad1_dev_000855"", ""korquad1_dev_000867"", ""korquad1_dev_000831"", ""korquad1_dev_000841"", ""korquad1_dev_000835"", ""korquad1_dev_000832""]","[""bm25"", ""hybrid""]",expression_mismatch,,,False,,,False
korquad1,korquad1_dev_q_005154,other,김영삼 대통령이 서거한 나이는?,89세,korquad1_dev_000865,,"[""korquad1_dev_000848"", ""korquad1_dev_000856"", ""korquad1_dev_000446"", ""korquad1_dev_000850"", ""korquad1_dev_000855"", ""korquad1_dev_000833"", ""korquad1_dev_000444"", ""korquad1_dev_000843"", ""korquad1_dev_000835"", ""korquad1_dev_000847""]","[""bm25"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_005172,other,김영삼에 대해 자신의 아들을 위해 정치적 배신을 했다고 주장한 정치인은?,이민우,korquad1_dev_000868,,"[""korquad1_dev_000447"", ""korquad1_dev_000836"", ""korquad1_dev_000848"", ""korquad1_dev_000869"", ""korquad1_dev_000444"", ""korquad1_dev_000861"", ""korquad1_dev_000459"", ""korquad1_dev_000852"", ""korquad1_dev_000837"", ""korquad1_dev_000841""]","[""bm25"", ""hybrid""]",expression_mismatch,,,False,,,False
korquad1,korquad1_dev_q_005177,what,김영삼이 정치무대에 첫 발을 내딛은 것은 무슨 직업을 통해서였는가?,비서관,korquad1_dev_000869,,"[""korquad1_dev_000855"", ""korquad1_dev_000852"", ""korquad1_dev_000872"", ""korquad1_dev_000832"", ""korquad1_dev_000831"", ""korquad1_dev_000835"", ""korquad1_dev_000841"", ""korquad1_dev_000833"", ""korquad1_dev_000856"", ""korquad1_dev_000846""]","[""bm25"", ""hybrid""]",expression_mismatch,,,False,,,False
korquad1,korquad1_dev_q_005188,other,당시 대선후보였던 이회창이 소속되어 있던 당은?,신한국당,korquad1_dev_000861,,"[""korquad1_dev_000459"", ""korquad1_dev_000444"", ""korquad1_dev_000463"", ""korquad1_dev_000462"", ""korquad1_dev_000450"", ""korquad1_dev_000464"", ""korquad1_dev_000833"", ""korquad1_dev_000454"", ""korquad1_dev_000461"", ""korquad1_dev_000451""]","[""dense"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_005306,other,명성황후가 암살당한 해는?,1895년,korquad1_dev_000889,,"[""korquad1_dev_000906"", ""korquad1_dev_000901"", ""korquad1_dev_000903"", ""korquad1_dev_000905"", ""korquad1_dev_000894"", ""korquad1_dev_000902"", ""korquad1_dev_000892"", ""korquad1_dev_000896"", ""korquad1_dev_000895"", ""korquad1_dev_000893""]","[""bm25"", ""dense"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_005312,other,명성황후의 이름은?,민자영,korquad1_dev_000890,,"[""korquad1_dev_000906"", ""korquad1_dev_000901"", ""korquad1_dev_000903"", ""korquad1_dev_000905"", ""korquad1_dev_000894"", ""korquad1_dev_000904"", ""korquad1_dev_000902"", ""korquad1_dev_000892"", ""korquad1_dev_000896"", ""korquad1_dev_000895""]","[""bm25"", ""dense"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_005333,other,1882년에 발생한 군란은?,임오군란,korquad1_dev_000893,,"[""korquad1_dev_000489"", ""korquad1_dev_000452"", ""korquad1_dev_000889"", ""korquad1_dev_000180"", ""korquad1_dev_000181"", ""korquad1_dev_000013"", ""korquad1_dev_000763"", ""korquad1_dev_000897"", ""korquad1_dev_000949"", ""korquad1_dev_000281""]","[""bm25"", ""hybrid""]",temporal_numeric,,,False,,,False
korquad1,korquad1_dev_q_005358,who,일본이 총리로 임명한 사람의 이름은?,김홍집,korquad1_dev_000897,,"[""korquad1_dev_000756"", ""korquad1_dev_000246"", ""korquad1_dev_000762"", ""korquad1_dev_000785"", ""korquad1_dev_000757"", ""korquad1_dev_000770"", ""korquad1_dev_000771"", ""korquad1_dev_000752"", ""korquad1_dev_000769"", ""korquad1_dev_000802""]","[""dense"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_005418,comparison,갤럭시 S8의 사양을 이전 갤럭시 시리즈와 비교하였을때 성능면에서는 약 퍼센트 향상되었는가?,25,korquad1_dev_000910,,"[""korquad1_dev_000935"", ""korquad1_dev_000909"", ""korquad1_dev_000957"", ""korquad1_dev_000956"", ""korquad1_dev_000913"", ""korquad1_dev_000914"", ""korquad1_dev_000958"", ""korquad1_dev_000960"", ""korquad1_dev_000959"", ""korquad1_dev_000912""]","[""bm25"", ""hybrid""]",temporal_numeric,,,False,,,False
korquad1,korquad1_dev_q_005670,other,3천명의 사상자를 내며 우세를 점한 군대는?,골리친의 군대,korquad1_dev_000945,,"[""korquad1_dev_000940"", ""korquad1_dev_000778"", ""korquad1_dev_000946"", ""korquad1_dev_000952"", ""korquad1_dev_000948"", ""korquad1_dev_000941"", ""korquad1_dev_000943"", ""korquad1_dev_000781"", ""korquad1_dev_000897"", ""korquad1_dev_000370""]","[""dense"", ""hybrid""]",temporal_numeric,,,False,,,False
klue_mrc,klue_mrc_validation_q_000024,who,데카메론에서 마을의 모든 부자들에게 돈을 달라고 하는 인물은?,걸인,klue_mrc_validation_000020,,"[""klue_mrc_validation_000023"", ""klue_mrc_validation_000965"", ""klue_mrc_validation_004771"", ""klue_mrc_validation_001960"", ""klue_mrc_validation_002366"", ""klue_mrc_validation_000021"", ""klue_mrc_validation_003553"", ""klue_mrc_validation_003836"", ""klue_mrc_validation_003627"", ""klue_mrc_validation_001639""]","[""bm25"", ""dense"", ""hybrid""]",expression_mismatch,,,False,,,False
klue_mrc,klue_mrc_validation_q_000112,other,30대의 공감을 불러일으킨 드라마의 제목은?,‘트랩’,klue_mrc_validation_000093,,"[""klue_mrc_validation_000195"", ""klue_mrc_validation_002549"", ""klue_mrc_validation_003833"", ""klue_mrc_validation_001975"", ""klue_mrc_validation_002750"", ""klue_mrc_validation_004967"", ""klue_mrc_validation_005290"", ""klue_mrc_validation_003727"", ""klue_mrc_validation_000677"", ""klue_mrc_validation_004310""]","[""bm25"", ""hybrid""]",temporal_numeric,,,False,,,False
klue_mrc,klue_mrc_validation_q_000194,numeric,유통업계에서 종사하는 30대 남성의 비율은?,90%,klue_mrc_validation_000167,,"[""klue_mrc_validation_002816"", ""klue_mrc_validation_001975"", ""klue_mrc_validation_003471"", ""klue_mrc_validation_005215"", ""klue_mrc_validation_004187"", ""klue_mrc_validation_003351"", ""klue_mrc_validation_000225"", ""klue_mrc_validation_001018"", ""klue_mrc_validation_002689"", ""klue_mrc_validation_003968""]","[""bm25"", ""dense"", ""hybrid""]",temporal_numeric,,,False,,,False
klue_mrc,klue_mrc_validation_q_000354,other,"GM, 르노와 거래를 하고 있는 회사의 이름은?",만도,klue_mrc_validation_000299,,"[""klue_mrc_validation_000825"", ""klue_mrc_validation_002123"", ""klue_mrc_validation_002014"", ""klue_mrc_validation_000426"", ""klue_mrc_validation_002384"", ""klue_mrc_validation_001225"", ""klue_mrc_validation_001003"", ""klue_mrc_validation_001460"", ""klue_mrc_validation_003701"", ""klue_mrc_validation_004797""]","[""bm25"", ""dense"", ""hybrid""]",abbreviation,,,False,,,False
klue_mrc,klue_mrc_validation_q_000546,who,국내 정유시장의 잠재력을 높이 평가한 사람은?,SK이노베이션 관계자,klue_mrc_validation_000463,,"[""klue_mrc_validation_001646"", ""klue_mrc_validation_002634"", ""klue_mrc_validation_005281"", ""klue_mrc_validation_001229"", ""klue_mrc_validation_000559"", ""klue_mrc_validation_001833"", ""klue_mrc_validation_001280"", ""klue_mrc_validation_004129"", ""klue_mrc_validation_001638"", ""klue_mrc_validation_002928""]","[""dense"", ""hybrid""]",unlabeled,,,False,,,False
klue_mrc,klue_mrc_validation_q_000561,who,주민들의 대피를 도왔던 사람의 이름은 무엇인가요?,조영달,klue_mrc_validation_000477,,"[""klue_mrc_validation_004560"", ""klue_mrc_validation_002482"", ""klue_mrc_validation_000928"", ""klue_mrc_validation_000567"", ""klue_mrc_validation_005122"", ""klue_mrc_validation_000866"", ""klue_mrc_validation_002485"", ""klue_mrc_validation_000248"", ""klue_mrc_validation_001174"", ""klue_mrc_validation_004265""]","[""bm25"", ""dense"", ""hybrid""]",unlabeled,,,False,,,False
klue_mrc,klue_mrc_validation_q_000583,numeric,카카오의 신규 회원 수는?,100명,klue_mrc_validation_000497,,"[""klue_mrc_validation_000937"", ""klue_mrc_validation_004024"", ""klue_mrc_validation_002237"", ""klue_mrc_validation_000150"", ""klue_mrc_validation_002355"", ""klue_mrc_validation_001202"", ""klue_mrc_validation_001894"", ""klue_mrc_validation_003612"", ""klue_mrc_validation_003168"", ""klue_mrc_validation_001239""]","[""bm25"", ""dense"", ""hybrid""]",ellipsis,,,False,,,False
