qid,dataset,question,failure_label,secondary_failure_label,rewrite_type,query
klue_mrc_validation_q_000031,klue_mrc,소화관과 이어져있으며 허파의 역할을 맡는 장기는 무엇인가?,ambiguous,,original,소화관과 이어져있으며 허파의 역할을 맡는 장기는 무엇인가?
klue_mrc_validation_q_000031,klue_mrc,소화관과 이어져있으며 허파의 역할을 맡는 장기는 무엇인가?,ambiguous,,keyword_rewrite,이어져있으며 소화관 무엇인 허파 역할 맡는 장기 정답 정보
klue_mrc_validation_q_000031,klue_mrc,소화관과 이어져있으며 허파의 역할을 맡는 장기는 무엇인가?,ambiguous,,semantic_rewrite,원래 의미를 유지하여 정답 정보를 찾는 질문: 소화관과 이어져있으며 허파의 역할을 맡는 장기는 무엇인가?
klue_mrc_validation_q_000031,klue_mrc,소화관과 이어져있으며 허파의 역할을 맡는 장기는 무엇인가?,ambiguous,,structured_rewrite,대상: 이어져있으며 소화관 무엇인 허파 / 조건: 가능범위 / 질문유형: 정답 정보
klue_mrc_validation_q_000031,klue_mrc,소화관과 이어져있으며 허파의 역할을 맡는 장기는 무엇인가?,ambiguous,,llm_rewrite,소화관과 연결되어 허파 역할을 하는 장기 이름
klue_mrc_validation_q_000045,klue_mrc,작년 대기업의 투자규모는 올해보다 얼마나 더 적었는가?,numeric_temporal_mismatch,context_boundary_issue,original,작년 대기업의 투자규모는 올해보다 얼마나 더 적었는가?
klue_mrc_validation_q_000045,klue_mrc,작년 대기업의 투자규모는 올해보다 얼마나 더 적었는가?,numeric_temporal_mismatch,context_boundary_issue,keyword_rewrite,투자규모 대기업 얼마나 적었는 작년 올해 숫자 날짜 연도 순위 숫자 시간 정보
klue_mrc_validation_q_000045,klue_mrc,작년 대기업의 투자규모는 올해보다 얼마나 더 적었는가?,numeric_temporal_mismatch,context_boundary_issue,semantic_rewrite,몇 년·언제·몇 위·몇 명 같은 조건을 명확히 하여 숫자·시간 정보를 찾는 질문: 작년 대기업의 투자규모는 올해보다 얼마나 더 적었는가?
klue_mrc_validation_q_000045,klue_mrc,작년 대기업의 투자규모는 올해보다 얼마나 더 적었는가?,numeric_temporal_mismatch,context_boundary_issue,structured_rewrite,대상: 투자규모 대기업 얼마나 적었는 / 조건: 작년 / 질문유형: 숫자·시간 정보
klue_mrc_validation_q_000045,klue_mrc,작년 대기업의 투자규모는 올해보다 얼마나 더 적었는가?,numeric_temporal_mismatch,context_boundary_issue,llm_rewrite,작년 대기업 투자규모와 올해 투자규모 비교 차이
klue_mrc_validation_q_000100,klue_mrc,22일 발표된 내용의 조사 마감일은?,numeric_temporal_mismatch,,original,22일 발표된 내용의 조사 마감일은?
klue_mrc_validation_q_000100,klue_mrc,22일 발표된 내용의 조사 마감일은?,numeric_temporal_mismatch,,keyword_rewrite,22일 발표된 마감일 내용 조사 숫자 날짜 연도 순위 정답 정보
klue_mrc_validation_q_000100,klue_mrc,22일 발표된 내용의 조사 마감일은?,numeric_temporal_mismatch,,semantic_rewrite,몇 년·언제·몇 위·몇 명 같은 조건을 명확히 하여 정답 정보를 찾는 질문: 22일 발표된 내용의 조사 마감일은?
klue_mrc_validation_q_000100,klue_mrc,22일 발표된 내용의 조사 마감일은?,numeric_temporal_mismatch,,structured_rewrite,대상: 22일 발표된 마감일 내용 / 조건: 22일 조사 마감일 / 질문유형: 정답 정보
klue_mrc_validation_q_000100,klue_mrc,22일 발표된 내용의 조사 마감일은?,numeric_temporal_mismatch,,llm_rewrite,22일 발표된 조사 내용의 마감일 언제인가
klue_mrc_validation_q_000112,klue_mrc,30대의 공감을 불러일으킨 드라마의 제목은?,numeric_temporal_mismatch,,original,30대의 공감을 불러일으킨 드라마의 제목은?
klue_mrc_validation_q_000112,klue_mrc,30대의 공감을 불러일으킨 드라마의 제목은?,numeric_temporal_mismatch,,keyword_rewrite,불러일으킨 30대 드라마 공감 제목 숫자 날짜 연도 순위 정답 정보
klue_mrc_validation_q_000112,klue_mrc,30대의 공감을 불러일으킨 드라마의 제목은?,numeric_temporal_mismatch,,semantic_rewrite,몇 년·언제·몇 위·몇 명 같은 조건을 명확히 하여 정답 정보를 찾는 질문: 30대의 공감을 불러일으킨 드라마의 제목은?
klue_mrc_validation_q_000112,klue_mrc,30대의 공감을 불러일으킨 드라마의 제목은?,numeric_temporal_mismatch,,structured_rewrite,대상: 불러일으킨 30대 드라마 공감 / 조건: 30대 불러일으킨 / 질문유형: 정답 정보
klue_mrc_validation_q_000112,klue_mrc,30대의 공감을 불러일으킨 드라마의 제목은?,numeric_temporal_mismatch,,llm_rewrite,30대 공감 얻은 인기 드라마 제목
klue_mrc_validation_q_000150,klue_mrc,제 25회 한일재계회의가 개최된 도시는?,numeric_temporal_mismatch,,original,제 25회 한일재계회의가 개최된 도시는?
klue_mrc_validation_q_000150,klue_mrc,제 25회 한일재계회의가 개최된 도시는?,numeric_temporal_mismatch,,keyword_rewrite,한일재계회의 25회 개최된 도시 숫자 날짜 연도 순위 장소 기관
klue_mrc_validation_q_000150,klue_mrc,제 25회 한일재계회의가 개최된 도시는?,numeric_temporal_mismatch,,semantic_rewrite,몇 년·언제·몇 위·몇 명 같은 조건을 명확히 하여 장소·기관를 찾는 질문: 제 25회 한일재계회의가 개최된 도시는?
klue_mrc_validation_q_000150,klue_mrc,제 25회 한일재계회의가 개최된 도시는?,numeric_temporal_mismatch,,structured_rewrite,대상: 한일재계회의 25회 개최된 도시 / 조건: 25회 한일재계회의 개최된 / 질문유형: 장소·기관
klue_mrc_validation_q_000150,klue_mrc,제 25회 한일재계회의가 개최된 도시는?,numeric_temporal_mismatch,,llm_rewrite,제25회 한일재계회의 개최 도시 장소
klue_mrc_validation_q_000174,klue_mrc,매해 연구개발 인력을 축소시키고 있다고 한 사람은?,entity_mismatch,,original,매해 연구개발 인력을 축소시키고 있다고 한 사람은?
klue_mrc_validation_q_000174,klue_mrc,매해 연구개발 인력을 축소시키고 있다고 한 사람은?,entity_mismatch,,keyword_rewrite,축소시키고 연구개발 있다고 매해 인력 사람 인물 주체
klue_mrc_validation_q_000174,klue_mrc,매해 연구개발 인력을 축소시키고 있다고 한 사람은?,entity_mismatch,,semantic_rewrite,인물·기관·작품 혼동을 줄이도록 대상과 관계를 분명히 한 질문: 매해 연구개발 인력을 축소시키고 있다고 한 사람은?
klue_mrc_validation_q_000174,klue_mrc,매해 연구개발 인력을 축소시키고 있다고 한 사람은?,entity_mismatch,,structured_rewrite,대상: 축소시키고 연구개발 있다고 매해 / 조건: 연구개발 / entity 혼동 방지 / 질문유형: 인물·주체
klue_mrc_validation_q_000174,klue_mrc,매해 연구개발 인력을 축소시키고 있다고 한 사람은?,entity_mismatch,,llm_rewrite,매해 연구개발 인력 축소 발언한 사람 이름
klue_mrc_validation_q_000176,klue_mrc,김의장과 2011년 처음 만난 사람의 이름은?,numeric_temporal_mismatch,,original,김의장과 2011년 처음 만난 사람의 이름은?
klue_mrc_validation_q_000176,klue_mrc,김의장과 2011년 처음 만난 사람의 이름은?,numeric_temporal_mismatch,,keyword_rewrite,2011년 김의장 처음 만난 사람 이름 숫자 날짜 연도 순위 인물 주체
klue_mrc_validation_q_000176,klue_mrc,김의장과 2011년 처음 만난 사람의 이름은?,numeric_temporal_mismatch,,semantic_rewrite,몇 년·언제·몇 위·몇 명 같은 조건을 명확히 하여 인물·주체를 찾는 질문: 김의장과 2011년 처음 만난 사람의 이름은?
klue_mrc_validation_q_000176,klue_mrc,김의장과 2011년 처음 만난 사람의 이름은?,numeric_temporal_mismatch,,structured_rewrite,대상: 2011년 김의장 처음 만난 / 조건: 2011년 / 질문유형: 인물·주체
klue_mrc_validation_q_000176,klue_mrc,김의장과 2011년 처음 만난 사람의 이름은?,numeric_temporal_mismatch,,llm_rewrite,2011년 김의장 처음 만난 사람 이름
klue_mrc_validation_q_000179,klue_mrc,여러 번의 수기 시험을 통해 광고업 종사자를 뽑는 기업은?,lexical_mismatch,,original,여러 번의 수기 시험을 통해 광고업 종사자를 뽑는 기업은?
klue_mrc_validation_q_000179,klue_mrc,여러 번의 수기 시험을 통해 광고업 종사자를 뽑는 기업은?,lexical_mismatch,,keyword_rewrite,광고업 종사자 여러 번의 수기 시험 통해 뽑는 숫자 시간 정보
klue_mrc_validation_q_000179,klue_mrc,여러 번의 수기 시험을 통해 광고업 종사자를 뽑는 기업은?,lexical_mismatch,,semantic_rewrite,같은 의미를 다른 표현으로 바꾸어 숫자·시간 정보를 찾는 질문: 여러 번의 수기 시험을 통해 광고업 종사자를 뽑는 기업은?
klue_mrc_validation_q_000179,klue_mrc,여러 번의 수기 시험을 통해 광고업 종사자를 뽑는 기업은?,lexical_mismatch,,structured_rewrite,대상: 광고업 종사자 여러 번의 / 조건: 번의 / 질문유형: 숫자·시간 정보
klue_mrc_validation_q_000179,klue_mrc,여러 번의 수기 시험을 통해 광고업 종사자를 뽑는 기업은?,lexical_mismatch,,llm_rewrite,여러 번 수기 시험으로 광고업 종사자 채용하는 기업
klue_mrc_validation_q_000216,klue_mrc,무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?,lexical_mismatch,,original,무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?
klue_mrc_validation_q_000216,klue_mrc,무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?,lexical_mismatch,,keyword_rewrite,설치되어 늘어났는 표시기 아래 숫자 시간 정보
klue_mrc_validation_q_000216,klue_mrc,무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?,lexical_mismatch,,semantic_rewrite,같은 의미를 다른 표현으로 바꾸어 숫자·시간 정보를 찾는 질문: 무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?
klue_mrc_validation_q_000216,klue_mrc,무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?,lexical_mismatch,,structured_rewrite,대상: 설치되어 늘어났는 표시기 아래 / 조건: 개 / 질문유형: 숫자·시간 정보
klue_mrc_validation_q_000216,klue_mrc,무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?,lexical_mismatch,,llm_rewrite,창 아래 설치된 표시기 증가 원인
klue_mrc_validation_q_000227,klue_mrc,에드로안의 통치를 칭찬한 매체는?,missing_key_term,,original,에드로안의 통치를 칭찬한 매체는?
klue_mrc_validation_q_000227,klue_mrc,에드로안의 통치를 칭찬한 매체는?,missing_key_term,,keyword_rewrite,에드로안 칭찬한 통치 매체 정답 정보
klue_mrc_validation_q_000227,klue_mrc,에드로안의 통치를 칭찬한 매체는?,missing_key_term,,semantic_rewrite,생략된 대상과 의도를 명확히 하여 정답 정보를 찾는 질문: 에드로안의 통치를 칭찬한 매체는?
klue_mrc_validation_q_000227,klue_mrc,에드로안의 통치를 칭찬한 매체는?,missing_key_term,,structured_rewrite,대상: 에드로안 칭찬한 통치 매체 / 조건: 요구정보 / 대상 명확화 / 질문유형: 정답 정보
klue_mrc_validation_q_000227,klue_mrc,에드로안의 통치를 칭찬한 매체는?,missing_key_term,,llm_rewrite,에르도안 통치 칭찬한 언론 매체 목록
klue_mrc_validation_q_000249,klue_mrc,여성 작가들만의 권리를 보호해주는 단체의 이름은?,lexical_mismatch,,original,여성 작가들만의 권리를 보호해주는 단체의 이름은?
klue_mrc_validation_q_000249,klue_mrc,여성 작가들만의 권리를 보호해주는 단체의 이름은?,lexical_mismatch,,keyword_rewrite,작가들만 보호해주 여성 권리 단체 이름 인물 주체
klue_mrc_validation_q_000249,klue_mrc,여성 작가들만의 권리를 보호해주는 단체의 이름은?,lexical_mismatch,,semantic_rewrite,같은 의미를 다른 표현으로 바꾸어 인물·주체를 찾는 질문: 여성 작가들만의 권리를 보호해주는 단체의 이름은?
klue_mrc_validation_q_000249,klue_mrc,여성 작가들만의 권리를 보호해주는 단체의 이름은?,lexical_mismatch,,structured_rewrite,대상: 작가들만 보호해주 여성 권리 / 조건: 속성 / 질문유형: 인물·주체
klue_mrc_validation_q_000249,klue_mrc,여성 작가들만의 권리를 보호해주는 단체의 이름은?,lexical_mismatch,,llm_rewrite,여성 작가 권리 보호 단체 이름
klue_mrc_validation_q_000263,klue_mrc,경제협력개발기구에 가입된 국가수는?,missing_key_term,,original,경제협력개발기구에 가입된 국가수는?
klue_mrc_validation_q_000263,klue_mrc,경제협력개발기구에 가입된 국가수는?,missing_key_term,,keyword_rewrite,경제협력개발기구 가입된 국가수 숫자 시간 정보
klue_mrc_validation_q_000263,klue_mrc,경제협력개발기구에 가입된 국가수는?,missing_key_term,,semantic_rewrite,생략된 대상과 의도를 명확히 하여 숫자·시간 정보를 찾는 질문: 경제협력개발기구에 가입된 국가수는?
klue_mrc_validation_q_000263,klue_mrc,경제협력개발기구에 가입된 국가수는?,missing_key_term,,structured_rewrite,대상: 경제협력개발기구 가입된 국가수 / 조건: 경제협력개발기구 / 대상 명확화 / 질문유형: 숫자·시간 정보
klue_mrc_validation_q_000263,klue_mrc,경제협력개발기구에 가입된 국가수는?,missing_key_term,,llm_rewrite,경제협력개발기구 가입 국가 수 최신 현황
klue_mrc_validation_q_000277,klue_mrc,전세값 오름세가 본격화 된 계기가 된 사건은?,missing_key_term,entity_mismatch,original,전세값 오름세가 본격화 된 계기가 된 사건은?
klue_mrc_validation_q_000277,klue_mrc,전세값 오름세가 본격화 된 계기가 된 사건은?,missing_key_term,entity_mismatch,keyword_rewrite,전세값 오름세 본격화 계기 사건 이유 원인
klue_mrc_validation_q_000277,klue_mrc,전세값 오름세가 본격화 된 계기가 된 사건은?,missing_key_term,entity_mismatch,semantic_rewrite,생략된 대상과 의도를 명확히 하여 이유·원인를 찾는 질문: 전세값 오름세가 본격화 된 계기가 된 사건은?
klue_mrc_validation_q_000277,klue_mrc,전세값 오름세가 본격화 된 계기가 된 사건은?,missing_key_term,entity_mismatch,structured_rewrite,대상: 전세값 오름세 본격화 계기 / 조건: 전세값 오름세 / 대상 명확화 / 질문유형: 이유·원인
klue_mrc_validation_q_000277,klue_mrc,전세값 오름세가 본격화 된 계기가 된 사건은?,missing_key_term,entity_mismatch,llm_rewrite,전세값 상승 본격화 계기 사건 원인 배경
klue_mrc_validation_q_000282,klue_mrc,공정거래법의 바뀐 명칭은?,missing_key_term,,original,공정거래법의 바뀐 명칭은?
klue_mrc_validation_q_000282,klue_mrc,공정거래법의 바뀐 명칭은?,missing_key_term,,keyword_rewrite,공정거래법 바뀐 명칭 정답 정보
klue_mrc_validation_q_000282,klue_mrc,공정거래법의 바뀐 명칭은?,missing_key_term,,semantic_rewrite,생략된 대상과 의도를 명확히 하여 정답 정보를 찾는 질문: 공정거래법의 바뀐 명칭은?
klue_mrc_validation_q_000282,klue_mrc,공정거래법의 바뀐 명칭은?,missing_key_term,,structured_rewrite,대상: 공정거래법 바뀐 명칭 / 조건: 명칭 / 대상 명확화 / 질문유형: 정답 정보
klue_mrc_validation_q_000282,klue_mrc,공정거래법의 바뀐 명칭은?,missing_key_term,,llm_rewrite,공정거래법 변경된 명칭 무엇인가
klue_mrc_validation_q_000296,klue_mrc,독일에서 수사영장을 발급하는데 걸리는 시간은 며칠인가?,numeric_temporal_mismatch,entity_mismatch,original,독일에서 수사영장을 발급하는데 걸리는 시간은 며칠인가?
klue_mrc_validation_q_000296,klue_mrc,독일에서 수사영장을 발급하는데 걸리는 시간은 며칠인가?,numeric_temporal_mismatch,entity_mismatch,keyword_rewrite,발급하는데 수사영장 며칠인 독일 걸리 시간 숫자 날짜 연도 순위 숫자 시간 정보
klue_mrc_validation_q_000296,klue_mrc,독일에서 수사영장을 발급하는데 걸리는 시간은 며칠인가?,numeric_temporal_mismatch,entity_mismatch,semantic_rewrite,몇 년·언제·몇 위·몇 명 같은 조건을 명확히 하여 숫자·시간 정보를 찾는 질문: 독일에서 수사영장을 발급하는데 걸리는 시간은 며칠인가?
klue_mrc_validation_q_000296,klue_mrc,독일에서 수사영장을 발급하는데 걸리는 시간은 며칠인가?,numeric_temporal_mismatch,entity_mismatch,structured_rewrite,대상: 발급하는데 수사영장 며칠인 독일 / 조건: 독일 시간 / 질문유형: 숫자·시간 정보
klue_mrc_validation_q_000296,klue_mrc,독일에서 수사영장을 발급하는데 걸리는 시간은 며칠인가?,numeric_temporal_mismatch,entity_mismatch,llm_rewrite,독일 수사영장 발급 소요 시간 며칠 걸리는지
klue_mrc_validation_q_000322,klue_mrc,현재까지의 아파트들 중 가장 높은 분양가를 자랑했던 곳은?,lexical_mismatch,,original,현재까지의 아파트들 중 가장 높은 분양가를 자랑했던 곳은?
klue_mrc_validation_q_000322,klue_mrc,현재까지의 아파트들 중 가장 높은 분양가를 자랑했던 곳은?,lexical_mismatch,,keyword_rewrite,현재까지 아파트들 자랑했던 분양가 가장 높은 곳은 정답 정보
klue_mrc_validation_q_000322,klue_mrc,현재까지의 아파트들 중 가장 높은 분양가를 자랑했던 곳은?,lexical_mismatch,,semantic_rewrite,같은 의미를 다른 표현으로 바꾸어 정답 정보를 찾는 질문: 현재까지의 아파트들 중 가장 높은 분양가를 자랑했던 곳은?
klue_mrc_validation_q_000322,klue_mrc,현재까지의 아파트들 중 가장 높은 분양가를 자랑했던 곳은?,lexical_mismatch,,structured_rewrite,대상: 현재까지 아파트들 자랑했던 분양가 / 조건: 분양가 / 질문유형: 정답 정보
klue_mrc_validation_q_000322,klue_mrc,현재까지의 아파트들 중 가장 높은 분양가를 자랑했던 곳은?,lexical_mismatch,,llm_rewrite,현재까지 분양가 가장 높은 아파트 단지 이름과 위치
klue_mrc_validation_q_000354,klue_mrc,"GM, 르노와 거래를 하고 있는 회사의 이름은?",lexical_mismatch,,original,"GM, 르노와 거래를 하고 있는 회사의 이름은?"
klue_mrc_validation_q_000354,klue_mrc,"GM, 르노와 거래를 하고 있는 회사의 이름은?",lexical_mismatch,,keyword_rewrite,gm 르노 거래 있는 회사 이름 인물 주체
klue_mrc_validation_q_000354,klue_mrc,"GM, 르노와 거래를 하고 있는 회사의 이름은?",lexical_mismatch,,semantic_rewrite,"같은 의미를 다른 표현으로 바꾸어 인물·주체를 찾는 질문: GM, 르노와 거래를 하고 있는 회사의 이름은?"
klue_mrc_validation_q_000354,klue_mrc,"GM, 르노와 거래를 하고 있는 회사의 이름은?",lexical_mismatch,,structured_rewrite,대상: gm 르노 거래 있는 / 조건: 속성 / 질문유형: 인물·주체
klue_mrc_validation_q_000354,klue_mrc,"GM, 르노와 거래를 하고 있는 회사의 이름은?",lexical_mismatch,,llm_rewrite,GM과 르노와 거래하는 회사 이름은 무엇인가요?
klue_mrc_validation_q_000355,klue_mrc,전년 동기보다 수입이 92.9% 증가한 곳의 지명은?,numeric_temporal_mismatch,,original,전년 동기보다 수입이 92.9% 증가한 곳의 지명은?
klue_mrc_validation_q_000355,klue_mrc,전년 동기보다 수입이 92.9% 증가한 곳의 지명은?,numeric_temporal_mismatch,,keyword_rewrite,증가한 전년 동기 수입 92 곳의 9 지명 숫자 날짜 연도 순위 숫자 시간 정보
klue_mrc_validation_q_000355,klue_mrc,전년 동기보다 수입이 92.9% 증가한 곳의 지명은?,numeric_temporal_mismatch,,semantic_rewrite,몇 년·언제·몇 위·몇 명 같은 조건을 명확히 하여 숫자·시간 정보를 찾는 질문: 전년 동기보다 수입이 92.9% 증가한 곳의 지명은?
klue_mrc_validation_q_000355,klue_mrc,전년 동기보다 수입이 92.9% 증가한 곳의 지명은?,numeric_temporal_mismatch,,structured_rewrite,대상: 증가한 전년 동기 수입 / 조건: 전년 92 9 지명 / 질문유형: 숫자·시간 정보
klue_mrc_validation_q_000355,klue_mrc,전년 동기보다 수입이 92.9% 증가한 곳의 지명은?,numeric_temporal_mismatch,,llm_rewrite,전년 동기 대비 수입 92.9% 증가한 지역 이름
klue_mrc_validation_q_000361,klue_mrc,송재희 단장이 속한 단체가 만들어진 것은 몇 월인가?,lexical_mismatch,,original,송재희 단장이 속한 단체가 만들어진 것은 몇 월인가?
klue_mrc_validation_q_000361,klue_mrc,송재희 단장이 속한 단체가 만들어진 것은 몇 월인가?,lexical_mismatch,,keyword_rewrite,만들어진 송재희 단장 속한 단체 것은 월인 숫자 시간 정보
klue_mrc_validation_q_000361,klue_mrc,송재희 단장이 속한 단체가 만들어진 것은 몇 월인가?,lexical_mismatch,,semantic_rewrite,같은 의미를 다른 표현으로 바꾸어 숫자·시간 정보를 찾는 질문: 송재희 단장이 속한 단체가 만들어진 것은 몇 월인가?
klue_mrc_validation_q_000361,klue_mrc,송재희 단장이 속한 단체가 만들어진 것은 몇 월인가?,lexical_mismatch,,structured_rewrite,대상: 만들어진 송재희 단장 속한 / 조건: 몇 월인 / 질문유형: 숫자·시간 정보
klue_mrc_validation_q_000361,klue_mrc,송재희 단장이 속한 단체가 만들어진 것은 몇 월인가?,lexical_mismatch,,llm_rewrite,송재희 단장 단체 설립 월 정보
klue_mrc_validation_q_000421,klue_mrc,고부가가치 시장에서 선보일 후판의 재료는?,entity_mismatch,,original,고부가가치 시장에서 선보일 후판의 재료는?
klue_mrc_validation_q_000421,klue_mrc,고부가가치 시장에서 선보일 후판의 재료는?,entity_mismatch,,keyword_rewrite,고부가가치 선보일 시장 후판 재료 정답 정보
klue_mrc_validation_q_000421,klue_mrc,고부가가치 시장에서 선보일 후판의 재료는?,entity_mismatch,,semantic_rewrite,인물·기관·작품 혼동을 줄이도록 대상과 관계를 분명히 한 질문: 고부가가치 시장에서 선보일 후판의 재료는?
klue_mrc_validation_q_000421,klue_mrc,고부가가치 시장에서 선보일 후판의 재료는?,entity_mismatch,,structured_rewrite,대상: 고부가가치 선보일 시장 후판 / 조건: 선보일 / entity 혼동 방지 / 질문유형: 정답 정보
klue_mrc_validation_q_000421,klue_mrc,고부가가치 시장에서 선보일 후판의 재료는?,entity_mismatch,,llm_rewrite,고부가가치 시장용 후판 재료 종류
klue_mrc_validation_q_000450,klue_mrc,한국감정원이 매각한 사옥은 어느 동에 있던 것인가?,missing_key_term,entity_mismatch,original,한국감정원이 매각한 사옥은 어느 동에 있던 것인가?
klue_mrc_validation_q_000450,klue_mrc,한국감정원이 매각한 사옥은 어느 동에 있던 것인가?,missing_key_term,entity_mismatch,keyword_rewrite,한국감정원 매각한 사옥 동에 있던 것인 참거짓 판단 정보
klue_mrc_validation_q_000450,klue_mrc,한국감정원이 매각한 사옥은 어느 동에 있던 것인가?,missing_key_term,entity_mismatch,semantic_rewrite,생략된 대상과 의도를 명확히 하여 참거짓 판단 정보를 찾는 질문: 한국감정원이 매각한 사옥은 어느 동에 있던 것인가?
klue_mrc_validation_q_000450,klue_mrc,한국감정원이 매각한 사옥은 어느 동에 있던 것인가?,missing_key_term,entity_mismatch,structured_rewrite,대상: 한국감정원 매각한 사옥 동에 / 조건: 한국감정원 / 대상 명확화 / 질문유형: 참거짓 판단 정보
klue_mrc_validation_q_000450,klue_mrc,한국감정원이 매각한 사옥은 어느 동에 있던 것인가?,missing_key_term,entity_mismatch,llm_rewrite,한국감정원 매각 사옥 위치 동 이름
klue_mrc_validation_q_000455,klue_mrc,강형주 씨의 출신 고등학교가 위치한 도시는?,entity_mismatch,,original,강형주 씨의 출신 고등학교가 위치한 도시는?
klue_mrc_validation_q_000455,klue_mrc,강형주 씨의 출신 고등학교가 위치한 도시는?,entity_mismatch,,keyword_rewrite,고등학교 강형주 위치한 씨의 출신 도시 장소 기관
klue_mrc_validation_q_000455,klue_mrc,강형주 씨의 출신 고등학교가 위치한 도시는?,entity_mismatch,,semantic_rewrite,인물·기관·작품 혼동을 줄이도록 대상과 관계를 분명히 한 질문: 강형주 씨의 출신 고등학교가 위치한 도시는?
klue_mrc_validation_q_000455,klue_mrc,강형주 씨의 출신 고등학교가 위치한 도시는?,entity_mismatch,,structured_rewrite,대상: 고등학교 강형주 위치한 씨의 / 조건: 위치한 / entity 혼동 방지 / 질문유형: 장소·기관
klue_mrc_validation_q_000455,klue_mrc,강형주 씨의 출신 고등학교가 위치한 도시는?,entity_mismatch,,llm_rewrite,강형주 출신 고등학교 위치 도시
klue_mrc_validation_q_000456,klue_mrc,내년 인하가 예견되는 것은?,missing_key_term,,original,내년 인하가 예견되는 것은?
klue_mrc_validation_q_000456,klue_mrc,내년 인하가 예견되는 것은?,missing_key_term,,keyword_rewrite,내년 인하 예견 것은 정답 정보
klue_mrc_validation_q_000456,klue_mrc,내년 인하가 예견되는 것은?,missing_key_term,,semantic_rewrite,생략된 대상과 의도를 명확히 하여 정답 정보를 찾는 질문: 내년 인하가 예견되는 것은?
klue_mrc_validation_q_000456,klue_mrc,내년 인하가 예견되는 것은?,missing_key_term,,structured_rewrite,대상: 내년 인하 예견 것은 / 조건: 내년 / 대상 명확화 / 질문유형: 정답 정보
klue_mrc_validation_q_000456,klue_mrc,내년 인하가 예견되는 것은?,missing_key_term,,llm_rewrite,내년 인하가 예견되는 대상과 이유
klue_mrc_validation_q_000476,klue_mrc,미국에서 고생하는 윤치호를 보듬어 준 것은 누구인가?,context_boundary_issue,numeric_temporal_mismatch,original,미국에서 고생하는 윤치호를 보듬어 준 것은 누구인가?
klue_mrc_validation_q_000476,klue_mrc,미국에서 고생하는 윤치호를 보듬어 준 것은 누구인가?,context_boundary_issue,numeric_temporal_mismatch,keyword_rewrite,윤치호 보듬어 누구인 미국 고생 것은 표 목록 행 열 속성 인물 주체
klue_mrc_validation_q_000476,klue_mrc,미국에서 고생하는 윤치호를 보듬어 준 것은 누구인가?,context_boundary_issue,numeric_temporal_mismatch,semantic_rewrite,표나 목록에서 필요한 정보를 찾는 형태로 인물·주체를 확인하는 질문: 미국에서 고생하는 윤치호를 보듬어 준 것은 누구인가?
