count,eval_split,label_group,num_records,policy_name,rate,retriever,selected_strategy
6,test,unlabeled,17,retriever_tuned_bandit_policy,0.35294117647058826,hybrid,keyword
10,test,unlabeled,17,retriever_tuned_bandit_policy,0.5882352941176471,hybrid,llm
1,test,unlabeled,17,retriever_tuned_bandit_policy,0.058823529411764705,hybrid,original
1,test,ambiguous,1,state_recovery_bandit_policy,1.0,hybrid,expanded
11,test,context_boundary_issue,12,state_recovery_bandit_policy,0.9166666666666666,hybrid,expanded
1,test,context_boundary_issue,12,state_recovery_bandit_policy,0.08333333333333333,hybrid,llm
24,test,entity_mismatch,24,state_recovery_bandit_policy,1.0,hybrid,llm
28,test,lexical_mismatch,65,state_recovery_bandit_policy,0.4307692307692308,hybrid,expanded
2,test,lexical_mismatch,65,state_recovery_bandit_policy,0.03076923076923077,hybrid,keyword
32,test,lexical_mismatch,65,state_recovery_bandit_policy,0.49230769230769234,hybrid,llm
3,test,lexical_mismatch,65,state_recovery_bandit_policy,0.046153846153846156,hybrid,original
78,test,missing_key_term,81,state_recovery_bandit_policy,0.9629629629629629,hybrid,expanded
1,test,missing_key_term,81,state_recovery_bandit_policy,0.012345679012345678,hybrid,llm
2,test,missing_key_term,81,state_recovery_bandit_policy,0.024691358024691357,hybrid,original
10,test,numeric_temporal_mismatch,100,state_recovery_bandit_policy,0.1,hybrid,expanded
21,test,numeric_temporal_mismatch,100,state_recovery_bandit_policy,0.21,hybrid,keyword
66,test,numeric_temporal_mismatch,100,state_recovery_bandit_policy,0.66,hybrid,llm
2,test,numeric_temporal_mismatch,100,state_recovery_bandit_policy,0.02,hybrid,original
1,test,numeric_temporal_mismatch,100,state_recovery_bandit_policy,0.01,hybrid,structured
6,test,unlabeled,17,state_recovery_bandit_policy,0.35294117647058826,hybrid,keyword
10,test,unlabeled,17,state_recovery_bandit_policy,0.5882352941176471,hybrid,llm
1,test,unlabeled,17,state_recovery_bandit_policy,0.058823529411764705,hybrid,original
6,train,ambiguous,6,refined_label_rule_model_policy,1.0,bm25,llm
25,train,context_boundary_issue,27,refined_label_rule_model_policy,0.9259259259259259,bm25,llm
2,train,context_boundary_issue,27,refined_label_rule_model_policy,0.07407407407407407,bm25,original
49,train,entity_mismatch,70,refined_label_rule_model_policy,0.7,bm25,llm
21,train,entity_mismatch,70,refined_label_rule_model_policy,0.3,bm25,original
136,train,lexical_mismatch,144,refined_label_rule_model_policy,0.9444444444444444,bm25,llm
8,train,lexical_mismatch,144,refined_label_rule_model_policy,0.05555555555555555,bm25,original
152,train,missing_key_term,169,refined_label_rule_model_policy,0.8994082840236687,bm25,llm
17,train,missing_key_term,169,refined_label_rule_model_policy,0.10059171597633136,bm25,original
209,train,numeric_temporal_mismatch,249,refined_label_rule_model_policy,0.8393574297188755,bm25,llm
40,train,numeric_temporal_mismatch,249,refined_label_rule_model_policy,0.1606425702811245,bm25,original
23,train,unlabeled,35,refined_label_rule_model_policy,0.6571428571428571,bm25,llm
12,train,unlabeled,35,refined_label_rule_model_policy,0.34285714285714286,bm25,original
6,train,ambiguous,6,retriever_tuned_bandit_policy,1.0,bm25,llm
27,train,context_boundary_issue,27,retriever_tuned_bandit_policy,1.0,bm25,llm
69,train,entity_mismatch,70,retriever_tuned_bandit_policy,0.9857142857142858,bm25,llm
1,train,entity_mismatch,70,retriever_tuned_bandit_policy,0.014285714285714285,bm25,original
139,train,lexical_mismatch,144,retriever_tuned_bandit_policy,0.9652777777777778,bm25,llm
5,train,lexical_mismatch,144,retriever_tuned_bandit_policy,0.034722222222222224,bm25,original
167,train,missing_key_term,169,retriever_tuned_bandit_policy,0.9881656804733728,bm25,llm
2,train,missing_key_term,169,retriever_tuned_bandit_policy,0.011834319526627219,bm25,original
18,train,numeric_temporal_mismatch,249,retriever_tuned_bandit_policy,0.07228915662650602,bm25,keyword
197,train,numeric_temporal_mismatch,249,retriever_tuned_bandit_policy,0.7911646586345381,bm25,llm
6,train,numeric_temporal_mismatch,249,retriever_tuned_bandit_policy,0.024096385542168676,bm25,original
28,train,numeric_temporal_mismatch,249,retriever_tuned_bandit_policy,0.11244979919678715,bm25,structured
35,train,unlabeled,35,retriever_tuned_bandit_policy,1.0,bm25,llm
6,train,ambiguous,6,state_recovery_bandit_policy,1.0,bm25,llm
27,train,context_boundary_issue,27,state_recovery_bandit_policy,1.0,bm25,llm
69,train,entity_mismatch,70,state_recovery_bandit_policy,0.9857142857142858,bm25,llm
1,train,entity_mismatch,70,state_recovery_bandit_policy,0.014285714285714285,bm25,original
143,train,lexical_mismatch,144,state_recovery_bandit_policy,0.9930555555555556,bm25,llm
1,train,lexical_mismatch,144,state_recovery_bandit_policy,0.006944444444444444,bm25,original
167,train,missing_key_term,169,state_recovery_bandit_policy,0.9881656804733728,bm25,llm
2,train,missing_key_term,169,state_recovery_bandit_policy,0.011834319526627219,bm25,original
19,train,numeric_temporal_mismatch,249,state_recovery_bandit_policy,0.07630522088353414,bm25,keyword
212,train,numeric_temporal_mismatch,249,state_recovery_bandit_policy,0.8514056224899599,bm25,llm
18,train,numeric_temporal_mismatch,249,state_recovery_bandit_policy,0.07228915662650602,bm25,original
35,train,unlabeled,35,state_recovery_bandit_policy,1.0,bm25,llm
6,train,ambiguous,6,refined_label_rule_model_policy,1.0,dense,original
2,train,context_boundary_issue,27,refined_label_rule_model_policy,0.07407407407407407,dense,expanded
22,train,context_boundary_issue,27,refined_label_rule_model_policy,0.8148148148148148,dense,llm
3,train,context_boundary_issue,27,refined_label_rule_model_policy,0.1111111111111111,dense,original
63,train,entity_mismatch,70,refined_label_rule_model_policy,0.9,dense,expanded
2,train,entity_mismatch,70,refined_label_rule_model_policy,0.02857142857142857,dense,llm
5,train,entity_mismatch,70,refined_label_rule_model_policy,0.07142857142857142,dense,original
113,train,lexical_mismatch,144,refined_label_rule_model_policy,0.7847222222222222,dense,llm
31,train,lexical_mismatch,144,refined_label_rule_model_policy,0.2152777777777778,dense,original
141,train,missing_key_term,169,refined_label_rule_model_policy,0.834319526627219,dense,llm
28,train,missing_key_term,169,refined_label_rule_model_policy,0.16568047337278108,dense,original
183,train,numeric_temporal_mismatch,249,refined_label_rule_model_policy,0.7349397590361446,dense,keyword
66,train,numeric_temporal_mismatch,249,refined_label_rule_model_policy,0.26506024096385544,dense,original
3,train,unlabeled,35,refined_label_rule_model_policy,0.08571428571428572,dense,expanded
19,train,unlabeled,35,refined_label_rule_model_policy,0.5428571428571428,dense,keyword
13,train,unlabeled,35,refined_label_rule_model_policy,0.37142857142857144,dense,original
6,train,ambiguous,6,retriever_tuned_bandit_policy,1.0,dense,original
27,train,context_boundary_issue,27,retriever_tuned_bandit_policy,1.0,dense,llm
70,train,entity_mismatch,70,retriever_tuned_bandit_policy,1.0,dense,original
144,train,lexical_mismatch,144,retriever_tuned_bandit_policy,1.0,dense,original
169,train,missing_key_term,169,retriever_tuned_bandit_policy,1.0,dense,original
249,train,numeric_temporal_mismatch,249,retriever_tuned_bandit_policy,1.0,dense,original
4,train,unlabeled,35,retriever_tuned_bandit_policy,0.11428571428571428,dense,expanded
31,train,unlabeled,35,retriever_tuned_bandit_policy,0.8857142857142857,dense,original
6,train,ambiguous,6,state_recovery_bandit_policy,1.0,dense,expanded
27,train,context_boundary_issue,27,state_recovery_bandit_policy,1.0,dense,expanded
1,train,entity_mismatch,70,state_recovery_bandit_policy,0.014285714285714285,dense,keyword
69,train,entity_mismatch,70,state_recovery_bandit_policy,0.9857142857142858,dense,llm
70,train,lexical_mismatch,144,state_recovery_bandit_policy,0.4861111111111111,dense,expanded
24,train,lexical_mismatch,144,state_recovery_bandit_policy,0.16666666666666666,dense,llm
50,train,lexical_mismatch,144,state_recovery_bandit_policy,0.3472222222222222,dense,original
60,train,missing_key_term,169,state_recovery_bandit_policy,0.35502958579881655,dense,expanded
109,train,missing_key_term,169,state_recovery_bandit_policy,0.6449704142011834,dense,original
35,train,numeric_temporal_mismatch,249,state_recovery_bandit_policy,0.14056224899598393,dense,expanded
64,train,numeric_temporal_mismatch,249,state_recovery_bandit_policy,0.2570281124497992,dense,keyword
30,train,numeric_temporal_mismatch,249,state_recovery_bandit_policy,0.12048192771084337,dense,llm
111,train,numeric_temporal_mismatch,249,state_recovery_bandit_policy,0.4457831325301205,dense,original
9,train,numeric_temporal_mismatch,249,state_recovery_bandit_policy,0.03614457831325301,dense,structured
35,train,unlabeled,35,state_recovery_bandit_policy,1.0,dense,original
6,train,ambiguous,6,refined_label_rule_model_policy,1.0,hybrid,expanded
27,train,context_boundary_issue,27,refined_label_rule_model_policy,1.0,hybrid,expanded
1,train,entity_mismatch,70,refined_label_rule_model_policy,0.014285714285714285,hybrid,expanded
65,train,entity_mismatch,70,refined_label_rule_model_policy,0.9285714285714286,hybrid,llm
4,train,entity_mismatch,70,refined_label_rule_model_policy,0.05714285714285714,hybrid,original
127,train,lexical_mismatch,144,refined_label_rule_model_policy,0.8819444444444444,hybrid,llm
17,train,lexical_mismatch,144,refined_label_rule_model_policy,0.11805555555555555,hybrid,original
148,train,missing_key_term,169,refined_label_rule_model_policy,0.8757396449704142,hybrid,expanded
6,train,missing_key_term,169,refined_label_rule_model_policy,0.03550295857988166,hybrid,llm
15,train,missing_key_term,169,refined_label_rule_model_policy,0.08875739644970414,hybrid,original
220,train,numeric_temporal_mismatch,249,refined_label_rule_model_policy,0.8835341365461847,hybrid,keyword
29,train,numeric_temporal_mismatch,249,refined_label_rule_model_policy,0.11646586345381527,hybrid,original
10,train,unlabeled,35,refined_label_rule_model_policy,0.2857142857142857,hybrid,keyword
25,train,unlabeled,35,refined_label_rule_model_policy,0.7142857142857143,hybrid,llm
6,train,ambiguous,6,retriever_tuned_bandit_policy,1.0,hybrid,expanded
27,train,context_boundary_issue,27,retriever_tuned_bandit_policy,1.0,hybrid,expanded
1,train,entity_mismatch,70,retriever_tuned_bandit_policy,0.014285714285714285,hybrid,keyword
69,train,entity_mismatch,70,retriever_tuned_bandit_policy,0.9857142857142858,hybrid,llm
65,train,lexical_mismatch,144,retriever_tuned_bandit_policy,0.4513888888888889,hybrid,expanded
7,train,lexical_mismatch,144,retriever_tuned_bandit_policy,0.04861111111111111,hybrid,keyword
66,train,lexical_mismatch,144,retriever_tuned_bandit_policy,0.4583333333333333,hybrid,llm
6,train,lexical_mismatch,144,retriever_tuned_bandit_policy,0.041666666666666664,hybrid,original
158,train,missing_key_term,169,retriever_tuned_bandit_policy,0.9349112426035503,hybrid,expanded
5,train,missing_key_term,169,retriever_tuned_bandit_policy,0.029585798816568046,hybrid,llm
6,train,missing_key_term,169,retriever_tuned_bandit_policy,0.03550295857988166,hybrid,original
40,train,numeric_temporal_mismatch,249,retriever_tuned_bandit_policy,0.1606425702811245,hybrid,expanded
63,train,numeric_temporal_mismatch,249,retriever_tuned_bandit_policy,0.25301204819277107,hybrid,keyword
139,train,numeric_temporal_mismatch,249,retriever_tuned_bandit_policy,0.5582329317269076,hybrid,llm
6,train,numeric_temporal_mismatch,249,retriever_tuned_bandit_policy,0.024096385542168676,hybrid,original
1,train,numeric_temporal_mismatch,249,retriever_tuned_bandit_policy,0.004016064257028112,hybrid,structured
9,train,unlabeled,35,retriever_tuned_bandit_policy,0.2571428571428571,hybrid,keyword
25,train,unlabeled,35,retriever_tuned_bandit_policy,0.7142857142857143,hybrid,llm
1,train,unlabeled,35,retriever_tuned_bandit_policy,0.02857142857142857,hybrid,original
6,train,ambiguous,6,state_recovery_bandit_policy,1.0,hybrid,expanded
27,train,context_boundary_issue,27,state_recovery_bandit_policy,1.0,hybrid,expanded
1,train,entity_mismatch,70,state_recovery_bandit_policy,0.014285714285714285,hybrid,keyword
69,train,entity_mismatch,70,state_recovery_bandit_policy,0.9857142857142858,hybrid,llm
65,train,lexical_mismatch,144,state_recovery_bandit_policy,0.4513888888888889,hybrid,expanded
7,train,lexical_mismatch,144,state_recovery_bandit_policy,0.04861111111111111,hybrid,keyword
66,train,lexical_mismatch,144,state_recovery_bandit_policy,0.4583333333333333,hybrid,llm
6,train,lexical_mismatch,144,state_recovery_bandit_policy,0.041666666666666664,hybrid,original
158,train,missing_key_term,169,state_recovery_bandit_policy,0.9349112426035503,hybrid,expanded
5,train,missing_key_term,169,state_recovery_bandit_policy,0.029585798816568046,hybrid,llm
6,train,missing_key_term,169,state_recovery_bandit_policy,0.03550295857988166,hybrid,original
40,train,numeric_temporal_mismatch,249,state_recovery_bandit_policy,0.1606425702811245,hybrid,expanded
63,train,numeric_temporal_mismatch,249,state_recovery_bandit_policy,0.25301204819277107,hybrid,keyword
139,train,numeric_temporal_mismatch,249,state_recovery_bandit_policy,0.5582329317269076,hybrid,llm
6,train,numeric_temporal_mismatch,249,state_recovery_bandit_policy,0.024096385542168676,hybrid,original
1,train,numeric_temporal_mismatch,249,state_recovery_bandit_policy,0.004016064257028112,hybrid,structured
9,train,unlabeled,35,state_recovery_bandit_policy,0.2571428571428571,hybrid,keyword
25,train,unlabeled,35,state_recovery_bandit_policy,0.7142857142857143,hybrid,llm
1,train,unlabeled,35,state_recovery_bandit_policy,0.02857142857142857,hybrid,original
