qid,question,answer,gold_doc_id,current_failure_type,suggested_manual_label,confidence,reason,failed_retrievers,query_length,keywords,bm25_original_rank,dense_original_rank,hybrid_original_rank,manual_failure_type,is_current_label_correct,notes
6507779-0-0,반기문이 졸업한 중학교의 이름은 무엇인가?,충주중학교,doc_000024,unlabeled,multi_retriever_failure,0.8,Multiple retrievers missed the gold passage.,bm25|hybrid,5,반기문 졸업한 중학교 무엇인 이름,>10,2,>10,,,
6588681-0-0,NTSC가 설립된 연도는?,1940년,doc_000570,abbreviation,abbreviation_or_foreign_term,0.8,Question contains Latin alphabet terms that can cause lexical mismatch.,bm25,3,ntsc 설립된 연도,>10,1,5,,,
6394983-9-0,체스에서 '#'은 무엇으로 불리는가?,체크메이트,doc_000053,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,4,불리는 체스,>10,3,6,,,
6559048-13-1,실질적인 책임자인 국방부장관을 해임하고 군법회의에 회부해야 한다고 주장한 사람은?,민주당 박지원 원내대표,doc_000127,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,9,국방부장관 실질적인 책임자인 해임하고 군법회의 회부해야 한다고 주장한,1,>10,1,,,
6577228-9-1,2011년 10월 20일 나경원과 인터뷰한 곳은 어디인가?,KBS라디오,doc_000174,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense,7,2011년 인터뷰한 10월 20일 나경원 어디인 곳은,2,>10,2,,,
6507779-0-2,반기문은 서울대학교의 무슨 학과를 나왔는가?,외교학과,doc_000024,unlabeled,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,5,서울대학교 반기문 나왔는 무슨 학과,10,>10,8,,,
6518201-1-1,커비 슬레이드가 출연한 CBS의 프로그램은 무엇인가?,온 더 로드 위드 찰스 쿠럴트,doc_000656,abbreviation,abbreviation_or_foreign_term,0.8,Question contains Latin alphabet terms that can cause lexical mismatch.,dense,6,슬레이드 프로그램 출연한 cbs 무엇인 커비,1,>10,1,,,
6559399-9-0,체스보드의 열을 이르는 말은?,파일,doc_000053,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,4,체스보드 열을 이르 말은,>10,4,6,,,
6542489-0-2,병리학 검사의뢰에 대해 비협조적인 태도를 보인 대학교의 이름은?,고려대학교,doc_000184,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,8,비협조적인 검사의뢰 병리학 대학교 대해 태도 보인 이름,1,>10,1,,,
6531881-1-0,서일본 여객철도 223계의 외관에서는 뭐가 다시 사라졌나?,비드,doc_000188,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",bm25,7,223계 외관에서 사라졌나 서일본 여객철 뭐가 다시,>10,1,1,,,
6507779-7-1,정동춘이 이사장으로 있는 재단의 이름은 무엇인가?,K스포츠재단,doc_000031,unlabeled,multi_retriever_failure,0.8,Multiple retrievers missed the gold passage.,dense|hybrid,6,정동춘 이사장 무엇인 있는 재단 이름,2,>10,>10,,,
6135902-0-1,AP사양은 무엇을 사용하는가,삼성 엑시노스 7420,doc_000936,abbreviation,abbreviation_or_foreign_term,0.8,Question contains Latin alphabet terms that can cause lexical mismatch.,bm25,3,ap사양 사용하는,>10,5,7,,,
6482346-1-2,쿠알라룸푸르국제공항은 어느나라 공항인가?,말레이시아,doc_000061,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,3,쿠알라룸푸르국제공항 어느나라 공항인,>10,1,1,,,
6336019-2-0,정도전이 은둔생활을 하게된 계기가 된 인물의 이름은 무엇인가?,신돈,doc_000225,expression_mismatch,multi_retriever_failure,0.8,Multiple retrievers missed the gold passage.,dense|hybrid,8,은둔생활 정도전 하게된 무엇인 계기 인물 이름,7,>10,>10,,,
6336019-2-1,정도전이 성균시에 급제한 뒤 2년 후 통과한 시험의 이름은 무엇인가?,동진사,doc_000225,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense,10,정도전 성균시 급제한 통과한 무엇인 2년 시험 이름,1,>10,1,,,
6507779-9-1,안보리 결의안에 대해서 거부권을 행사한 나라는 어디인가?,러시아,doc_000033,unlabeled,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,7,안보리 결의안 대해서 거부권 행사한 어디인 나라,1,>10,1,,,
6507753-0-1,박형식이 재학중인 대학교는?,디지털서울문화예술대학교,doc_000062,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,3,재학중인 박형식 대학교,>10,1,9,,,
6545182-0-2,학생운동 전력으로 취업되지 않자 이명박이 편지를 썼던 대통령은?,박정희,doc_000244,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,8,학생운동 취업되지 이명박 대통령 전력 않자 편지 썼던,1,>10,1,,,
6319215-0-0,용감한 형제 1집에서 2번 트랙은 일렉트로보이즈와 누가 같이 불렀나?,다비치,doc_000236,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",bm25|dense|hybrid,9,일렉트로보이즈 용감한 불렀나 형제 1집 2번 트랙 누가,>10,>10,>10,,,
6559399-9-2,심판이 언제나 볼 수 있어야 하는 것은?,기보,doc_000053,unlabeled,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,7,언제나 있어야 심판 것은,1,>10,1,,,
6527927-15-1,한남대교가 만들어진 해는?,1969년,doc_000093,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",dense|hybrid,3,한남대교 만들어진 해는,4,>10,>10,,,
6545197-0-0,이명박이 군대 입대 후 훈련소에서 강제 퇴소 당한 이유는?,기관지확장증,doc_000244,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,9,이명박 훈련소 군대 입대 강제 퇴소 당한 이유,1,>10,1,,,
6319215-0-1,용감한  형제 1집의 4번 트랙 노래 제목은?,울고싶단 말야,doc_000236,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",bm25|hybrid,7,용감한 형제 1집 4번 트랙 노래 제목,>10,1,>10,,,
6458139-0-1,"워싱턴 주, 벨뷰에서 행사를 개최한 이유는?",개발자 채용,doc_000100,unlabeled,multi_retriever_failure,0.8,Multiple retrievers missed the gold passage.,dense|hybrid,6,워싱턴 개최한 벨뷰 행사 이유,1,>10,>10,,,
6527927-15-2,경부고속도로가 개통된 해는?,1970년,doc_000093,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",dense,3,경부고속도로 개통된 해는,2,>10,1,,,
6545197-33-0,측근 비리로 수사를 받다가 자살하여 숨진 대통령은 누구인가?,노무현,doc_000277,expression_mismatch,multi_retriever_failure,0.8,Multiple retrievers missed the gold passage.,bm25|dense|hybrid,8,자살하여 대통령 누구인 측근 비리 수사 받다 숨진,>10,>10,>10,,,
6657651-0-2,19대 총선에서 어느 후보에게 경선에서 밀렸는가?,정동영,doc_000243,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",bm25|hybrid,6,19대 밀렸는 총선 어느 후보 경선,>10,7,>10,,,
6594187-1-1,아이케 장군이 다시 지휘권을 받은 달은 언제인가?,10월,doc_000108,unlabeled,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,7,아이케 지휘권 언제인 장군 다시 받은 달은,1,>10,1,,,
6527927-16-2,한국에서 가장 오래된 아파트는?,충정아파트,doc_000094,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25|hybrid,4,오래된 아파트 한국 가장,>10,1,>10,,,
6545197-48-0,노무현 대통령 추모와 관련하여 이명박 정부의 대처를 비판한 편상욱 앵커가 진행한 프로그램은 무엇인가?,나이트라인,doc_000292,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,13,관련하여 프로그램 노무현 대통령 이명박 비판한 편상욱 진행한,2,>10,2,,,
6545197-0-1,이명박이 6.3 시위로 대법원에서 징역과 집행유예를 선고받고 복역한 기간은?,6개월,doc_000244,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense,10,집행유예 선고받고 이명박 대법원 복역한 시위 징역 기간,1,>10,1,,,
6101054-0-1,박동원이 정규 시즌 이후 활약한 대회는 무엇인가?,플레이오프와 한국시리즈,doc_000110,unlabeled,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,7,박동원 활약한 무엇인 정규 시즌 이후 대회,2,>10,1,,,
6457834-4-0,열거주의적인 성격을 띄는 세금은?,소득세,doc_000099,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,4,열거주의적인 성격 띄는 세금,>10,1,2,,,
6464976-9-1,잦은 사고를 막기위해 대대적 보수를 하여 만들어 낸 장치는?,GP-슈트레케,doc_000344,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,9,막기위해 대대적 만들어 잦은 사고 보수 하여 장치,1,>10,7,,,
6545197-5-2,1961년 이명박이 입학한 대학교 이름은?,고려대,doc_000249,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense,5,1961년 이명박 입학한 대학교 이름,10,>10,9,,,
6559048-4-1,전 주한 미국 대사의 이름은?,도널드 그레그,doc_000118,unlabeled,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,5,주한 미국 대사 이름,1,>10,5,,,
6558162-2-2,당시 그 법안을 반대하였던 토리당의 압력에도 불구하고 승인하였던 총독은?,엘긴 경,doc_000182,ellipsis,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,9,반대하였던 승인하였던 불구하고 토리당 압력에 당시 법안 총독,1,>10,1,,,
6509850-8-1,당김음이라고 하는 용어로 어울리는 한도 내에서 박자를 수정하는 것을 뜻하는 용어는 무엇인가요?,싱코페이션,doc_000359,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,12,용어 무엇인가요 당김음이 어울리 내에서 한도 박자 수정,1,>10,1,,,
6545197-37-2,포항이나 영일 출신의 5급 이상 공무원들의 모임 이름은 무엇인가?,영포회,doc_000281,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense,9,포항이나 공무원들 무엇인 영일 출신 5급 이상 모임,1,>10,1,,,
6483042-11-2,논란이 거세지자 박창훈 씨가 반성글을 게시한 곳은?,페이스북,doc_000176,unlabeled,lexical_only_failure,0.7,"Dense or hybrid found the gold passage, but BM25 missed it.",bm25,7,거세지자 박창훈 반성글 게시한 논란 씨가 곳은,>10,1,3,,,
6512155-1-1,모든 천시들을 지배하는 이는?,그리스도,doc_000195,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,4,천시들 모든 지배 이는,>10,1,6,,,
5835201-6-0,윤상이 진행하던 라디오 프로그램 팝스팝스의 뒤를 이은 진행자는 누구인가?,최다니엘,doc_000438,expression_mismatch,lexical_only_failure,0.7,"Dense or hybrid found the gold passage, but BM25 missed it.",bm25,9,진행하던 프로그램 팝스팝스 라디오 진행자 누구인 윤상 뒤를,>10,1,9,,,
6488658-0-2,2012년 어떤  퓨전사극으로 6년만에 브라운관에 컴백 하였나?,신의,doc_000293,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense,7,2012년 퓨전사극 브라운관 6년만 하였나 컴백,1,>10,1,,,
6546666-6-0,마리 앙투아네트는 몇 살에 결혼했나?,15살,doc_000208,unlabeled,lexical_only_failure,0.7,"Dense or hybrid found the gold passage, but BM25 missed it.",bm25,5,앙투아네트 결혼했나 마리 살에,>10,3,8,,,
6549968-0-2,정도전은 누구의 군사들에게 피살되었는가?,이방원,doc_000223,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",dense,4,피살되었는 정도전 군사들,6,>10,6,,,
6459703-3-2,"전두환, 노태우 전직 대통령등에 대한 무슨 조사를 행했나?",서면조사,doc_000444,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,8,대통령등 전두환 노태우 행했나 전직 대한 무슨 조사,1,>10,1,,,
6532991-13-0,5월 6일은 무슨 날로 선언했는가?,저항의 날,doc_000323,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",bm25|dense,5,선언했는 5월 6일 무슨 날로,>10,>10,9,,,
6336019-0-0,정도전이 세자로 추대하였던 인물의 이름은?,방석,doc_000223,unlabeled,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,5,추대하였던 정도전 세자 인물 이름,4,>10,4,,,
6549968-2-0,정도전이 관직에 나간 년도는?,1363년,doc_000225,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",dense|hybrid,4,정도전 관직 나간 년도,2,>10,>10,,,
6459703-5-1,어려운 국면을 타개할 선거 전략의 일환으로 무엇을 폭로하엿나?,김대중후보의 670억 비자금 사건,doc_000446,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,8,폭로하엿나 어려운 타개할 국면 선거 전략 일환,1,>10,1,,,
6361105-5-1,한명숙이 2005년 4월 조문사절로 방문한 나라는?,러시아,doc_000377,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense,6,2005년 조문사절 한명숙 방문한 4월 나라,1,>10,1,,,
6549968-0-1,정도전은 명나라 태조 주원장과 무엇 때문에 갈등하였는가?,요동 정벌,doc_000223,unlabeled,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,7,갈등하였는 정도전 명나라 주원장 태조 때문,2,>10,2,,,
6549968-5-0,정도전이 유배당한 곳은?,봉화,doc_000228,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,3,유배당한 정도전 곳은,>10,9,9,,,
6547962-5-0,이회창의 대선 출마 당시 경선 패배를 승복하지 못하고 독자출마를 강행한 사람은?,이인제,doc_000446,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,11,승복하지 독자출마 이회창 못하고 강행한 대선 출마 당시,1,>10,1,,,
6570079-5-2,한명숙이 4월에 조문사절로 찾은 나라는?,러시아,doc_000377,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense,5,조문사절 한명숙 4월 찾은 나라,1,>10,1,,,
6657636-0-0,전현희가 졸업한 고등학교 이름은 무엇인가?,데레사여자고등학교를,doc_000243,unlabeled,multi_retriever_failure,0.8,Multiple retrievers missed the gold passage.,bm25|hybrid,5,고등학교 전현희 졸업한 무엇인 이름,>10,6,>10,,,
6657636-0-1,전현희는 서울대 어느학과에 입학했는가?,치과,doc_000243,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,4,어느학과 입학했는 전현희 서울대,>10,1,4,,,
5780876-1-1,군부는 군사적 행동으로 어느 당의 사무실에 들어가 퇴거를 요구 하였는가?,정의개발당,doc_000617,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,10,군사적 사무실 하였는 군부 행동 어느 당의 들어,1,>10,1,,,
6361105-7-1,2005년 열린우리당 경선 최종 당선자는?,정동영,doc_000379,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",bm25|dense|hybrid,5,2005년 열린우리당 당선자 경선 최종,>10,>10,>10,,,
6545182-0-0,군사 훈련소에서 강제 퇴소될 당시의 병명은?,기관지확장증,doc_000244,unlabeled,multi_retriever_failure,0.8,Multiple retrievers missed the gold passage.,dense|hybrid,6,훈련소 퇴소될 군사 강제 당시 병명,2,>10,>10,,,
6183821-0-0,전현희의 출신 고등학교는 어디인가?,부산 데레사여자고등학교,doc_000243,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,4,고등학교 전현희 어디인 출신,>10,3,7,,,
6530017-1-0,번스타인은 노동층의 아이들에게서 정보를 얻기 위해 무엇을 하였는가?,면담,doc_000651,expression_mismatch,multi_retriever_failure,0.8,Multiple retrievers missed the gold passage.,bm25|hybrid,8,아이들에게서 번스타인 노동층 하였는 정보 얻기 위해,>10,6,>10,,,
6570079-11-0,한명숙의 1심 재판 날짜는?,2011년 10월 31일,doc_000383,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",bm25,4,한명숙 1심 재판 날짜,>10,3,6,,,
6545182-0-1,상대 학생회장에 당선된 후 주도했던 시위는?,6.3 시위,doc_000244,unlabeled,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,6,학생회장 주도했던 당선된 상대 시위,1,>10,1,,,
6183821-0-2,전현희의 출신 대학은 어디인가?,서울대학교,doc_000243,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,4,전현희 어디인 출신 대학,>10,2,3,,,
6533489-0-1,코우즈키(조진웅)가 일본을 도운 대가로 받은 권리서는 무엇인가?,금광채굴권,doc_000725,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,9,코우즈키 조진웅 권리서 무엇인 일본 도운 대가 받은,1,>10,1,,,
6547962-2-1,1995년 사회민주주의 청년연맹 사건으로 구속 기소된 사람은?,최형록,doc_000443,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",bm25|dense|hybrid,7,1995년 사회민주주 청년연맹 기소된 사건 구속 사람,>10,>10,>10,,,
6589969-3-1,우리나라는 세계에서 몇번째로 원전수출을 하였나?,6번째,doc_000247,unlabeled,lexical_only_failure,0.7,"Dense or hybrid found the gold passage, but BM25 missed it.",bm25,5,우리나라 원전수출 몇번째 하였나 세계,>10,1,5,,,
6545197-5-0,이명박이 진학했던 고등학교 이름은?,동지상고,doc_000249,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,4,진학했던 고등학교 이명박 이름,>10,4,7,,,
6584295-15-1,원로 중 한 명인 마쓰카타 마사요시가 죽은 년도는?,1924년,doc_000753,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,8,마쓰카타 마사요시 원로 명인 죽은 년도,1,>10,1,,,
6459703-5-2,10월 20일 시행 되었던 것은?,김대중후보의 비자금 수사,doc_000446,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",bm25|dense|hybrid,5,10월 20일 되었던 시행 것은,>10,>10,>10,,,
6545197-11-1,이명박이 소속된 당 이름은 무엇인가?,한나라당,doc_000255,unlabeled,lexical_only_failure,0.7,"Dense or hybrid found the gold passage, but BM25 missed it.",bm25,5,이명박 소속된 무엇인 이름,>10,6,7,,,
6489313-9-0,포물러 원의 주최자는?,국제 자동차 연맹,doc_000344,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,3,포물러 주최자 원의,>10,1,2,,,
6584295-84-1,천황제를 무너뜨려도 반란이 일어나지 않았을 것이라고 지적한 사람은?,요시다 유타카,doc_000822,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,8,무너뜨려 일어나지 천황제 지적한 반란 않았 것이 사람,1,>10,1,,,
6459703-6-2,11월 21일 진행되었던 회의는?,합당합동회의,doc_000447,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense|hybrid,4,진행되었던 11월 21일 회의,4,>10,>10,,,
6545197-29-1,금강산 관광지구에서 피격당한 박왕자씨는 당시 몇 살이었는가?,만 53세,doc_000273,unlabeled,multi_retriever_failure,0.8,Multiple retrievers missed the gold passage.,bm25|hybrid,7,관광지구 피격당한 박왕자씨 살이었는 금강산 당시,>10,1,>10,,,
6570079-11-1,한민호는 어떤 회사의 대표였는가?,한신건영,doc_000383,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,4,대표였는 한민호 회사,>10,1,3,,,
6269760-1-0,문민정부가 군대 내 부정비리를 제거하기 위해 없앤 조직은?,하나회,doc_000827,expression_mismatch,lexical_only_failure,0.7,"Dense or hybrid found the gold passage, but BM25 missed it.",bm25,8,문민정부 부정비리 제거하기 군대 위해 없앤 조직,>10,4,9,,,
6459703-11-1,9월에 출마를 결심한 분은?,정몽준,doc_000452,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense|hybrid,4,결심한 9월 출마 분은,7,>10,>10,,,
6589969-33-0,측근비리로 수사 받던중 자살한 대통령은?,노무현 대통령,doc_000277,unlabeled,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,5,측근비리 받던중 자살한 대통령 수사,2,>10,2,,,
6361105-14-0,곽영욱은 어느 회사의 사장이었는가?,대한통운,doc_000386,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",dense,4,사장이었는 곽영욱 어느 회사,8,>10,5,,,
6269760-7-1,김영삼의 학력에 대한 루머를 잠재우는 증거는 무엇이 있는가?,졸업증명서,doc_000833,expression_mismatch,lexical_only_failure,0.7,"Dense or hybrid found the gold passage, but BM25 missed it.",bm25,8,김영삼 잠재우 학력 대한 루머 증거 있는,>10,3,9,,,
6459703-15-0,8월 30일 누가 불만을 제기 했나?,심대평,doc_000456,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense|hybrid,6,30일 8월 누가 불만 제기 했나,8,>10,>10,,,
6545197-34-0,이명박이 대선시절에 내세웠던 공약은 무엇인가?,작은 정부,doc_000278,unlabeled,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,5,대선시절 내세웠던 이명박 무엇인 공약,1,>10,1,,,
6530030-2-0,바이오쇼크에 나오는 수중도시의 이름은?,랩쳐,doc_000393,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25|dense|hybrid,4,바이오쇼크 수중도시 나오 이름,>10,>10,>10,,,
6488411-24-0,당시 노태우 정부의 감시 사실을 밝힌 인물의 이름은?,윤석양,doc_000850,expression_mismatch,multi_retriever_failure,0.8,Multiple retrievers missed the gold passage.,bm25|hybrid,8,노태우 당시 정부 감시 사실 밝힌 인물 이름,>10,1,>10,,,
6547962-16-0,2009년 12월 7일 이회창이 출연한 불교방송의 프로그램 이름은?,김재원의 아침저널,doc_000457,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense,8,2009년 불교방송 프로그램 12월 이회창 출연한 7일 이름,1,>10,2,,,
6464976-0-1,트랙이 지속적으로 변형되는 가장 큰 요인은?,안전,doc_000335,unlabeled,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,6,지속적 트랙 변형 가장 요인,2,>10,1,,,
6506110-12-0,바이오쇼크를 만들어낸 회사 이름은?,2K 게임즈,doc_000403,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25|hybrid,4,바이오쇼크 만들어낸 회사 이름,>10,1,>10,,,
6269760-33-1,김영삼 정부의 지방자치제도 확대 이후 시작된 지방 선거유세는 언제였는가?,1995년 5월,doc_000859,expression_mismatch,multi_retriever_failure,0.8,Multiple retrievers missed the gold passage.,bm25|hybrid,9,지방자치제 선거유세 언제였는 김영삼 시작된 정부 확대 이후,>10,2,>10,,,
