qid,retriever,policy_name,eval_split,state_key,selected_strategy,failure_type,original_rank,original_success,originally_failed,gold_rank,reward,policy_reward,recall@1,recall@5,recall@10,mrr,answer_f1,original_gold_rank,original_recall@10,original_mrr,original_answer_f1,original_reward,rank_improvement,recall10_improvement,mrr_improvement,answer_f1_improvement,reward_improvement,original_query_length,rewrite_query_length,keyword_overlap,semantic_similarity,bm25_initial_rank,dense_initial_rank,hybrid_initial_rank,rank_gap_bm25_dense,rank_gap_bm25_hybrid,rank_gap_dense_hybrid
6394983-9-0,dense,oracle_best_strategy,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,prompt,ellipsis,3,True,False,2,1.75,0.08333333333333326,0.0,1.0,1.0,0.5,1.0,3,1.0,0.3333333333333333,1.0,1.6666666666666667,1,0.0,0.16666666666666669,0.0,0.08333333333333326,4,10,1.0,1.0,,3,6,,,3
6394983-9-0,hybrid,original_only,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,6,True,False,6,1.5833333333333333,0.0,0.0,0.0,1.0,0.16666666666666666,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,3,6,,,3
6394983-9-0,hybrid,always_keyword,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,keyword,ellipsis,6,True,False,,0.35,-1.2333333333333334,0.0,0.0,0.0,0.0,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,-5,-1.0,-0.16666666666666666,0.0,-1.2333333333333334,4,2,0.25,0.25,,3,6,,,3
6394983-9-0,hybrid,always_expanded,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,expanded,ellipsis,6,True,False,9,1.5555555555555556,-0.02777777777777768,0.0,0.0,1.0,0.1111111111111111,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,-3,0.0,-0.05555555555555555,0.0,-0.02777777777777768,4,6,1.0,1.0,,3,6,,,3
6394983-9-0,hybrid,always_prompt,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,prompt,ellipsis,6,True,False,7,1.5714285714285714,-0.011904761904761862,0.0,0.0,1.0,0.14285714285714285,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,-1,0.0,-0.023809523809523808,0.0,-0.011904761904761862,4,10,1.0,1.0,,3,6,,,3
6394983-9-0,hybrid,always_structured,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,structured,ellipsis,6,True,False,9,1.5355555555555556,-0.0477777777777777,0.0,0.0,1.0,0.1111111111111111,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,-3,0.0,-0.05555555555555555,0.0,-0.0477777777777777,4,13,1.0,1.0,,3,6,,,3
6394983-9-0,hybrid,always_llm,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,llm,ellipsis,6,True,False,,0.35,-1.2333333333333334,0.0,0.0,0.0,0.0,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,-5,-1.0,-0.16666666666666666,0.0,-1.2333333333333334,4,4,0.25,0.25,,3,6,,,3
6394983-9-0,hybrid,failure_type_policy,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,structured,ellipsis,6,True,False,9,1.5355555555555556,-0.0477777777777777,0.0,0.0,1.0,0.1111111111111111,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,-3,0.0,-0.05555555555555555,0.0,-0.0477777777777777,4,13,1.0,1.0,,3,6,,,3
6394983-9-0,hybrid,reward_selected,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,6,True,False,6,1.5833333333333333,0.0,0.0,0.0,1.0,0.16666666666666666,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,3,6,,,3
6394983-9-0,hybrid,oracle_best_strategy,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,6,True,False,6,1.5833333333333333,0.0,0.0,0.0,1.0,0.16666666666666666,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,3,6,,,3
6559399-9-0,bm25,original_only,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,4,6,,,2
6559399-9-0,bm25,always_keyword,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,keyword,ellipsis,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,4,6,,,2
6559399-9-0,bm25,always_expanded,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,expanded,ellipsis,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,4,8,1.0,1.0,,4,6,,,2
6559399-9-0,bm25,always_prompt,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,prompt,ellipsis,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,4,10,1.0,1.0,,4,6,,,2
6559399-9-0,bm25,always_structured,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,structured,ellipsis,,False,True,,0.44,-0.06,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,-0.06,4,15,1.0,1.0,,4,6,,,2
6559399-9-0,bm25,always_llm,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,llm,ellipsis,,False,True,,0.4,-0.09999999999999998,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,-0.09999999999999998,4,5,0.5,0.5,,4,6,,,2
6559399-9-0,bm25,failure_type_policy,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,structured,ellipsis,,False,True,,0.44,-0.06,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,-0.06,4,15,1.0,1.0,,4,6,,,2
6559399-9-0,bm25,reward_selected,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,4,6,,,2
6559399-9-0,bm25,oracle_best_strategy,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,4,6,,,2
6559399-9-0,dense,original_only,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,4,True,False,4,1.625,0.0,0.0,1.0,1.0,0.25,1.0,4,1.0,0.25,1.0,1.625,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,4,6,,,2
6559399-9-0,dense,always_keyword,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,keyword,ellipsis,4,True,False,4,1.625,0.0,0.0,1.0,1.0,0.25,1.0,4,1.0,0.25,1.0,1.625,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,4,6,,,2
6559399-9-0,dense,always_expanded,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,expanded,ellipsis,4,True,False,4,1.625,0.0,0.0,1.0,1.0,0.25,1.0,4,1.0,0.25,1.0,1.625,0,0.0,0.0,0.0,0.0,4,8,1.0,1.0,,4,6,,,2
6559399-9-0,dense,always_prompt,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,prompt,ellipsis,4,True,False,4,1.625,0.0,0.0,1.0,1.0,0.25,1.0,4,1.0,0.25,1.0,1.625,0,0.0,0.0,0.0,0.0,4,10,1.0,1.0,,4,6,,,2
6559399-9-0,dense,always_structured,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,structured,ellipsis,4,True,False,4,1.565,-0.06000000000000005,0.0,1.0,1.0,0.25,1.0,4,1.0,0.25,1.0,1.625,0,0.0,0.0,0.0,-0.06000000000000005,4,15,1.0,1.0,,4,6,,,2
6559399-9-0,dense,always_llm,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,llm,ellipsis,4,True,False,3,1.5666666666666667,-0.05833333333333335,0.0,1.0,1.0,0.3333333333333333,1.0,4,1.0,0.25,1.0,1.625,1,0.0,0.08333333333333331,0.0,-0.05833333333333335,4,5,0.5,0.5,,4,6,,,2
6559399-9-0,dense,failure_type_policy,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,structured,ellipsis,4,True,False,4,1.565,-0.06000000000000005,0.0,1.0,1.0,0.25,1.0,4,1.0,0.25,1.0,1.625,0,0.0,0.0,0.0,-0.06000000000000005,4,15,1.0,1.0,,4,6,,,2
6559399-9-0,dense,reward_selected,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,4,True,False,4,1.625,0.0,0.0,1.0,1.0,0.25,1.0,4,1.0,0.25,1.0,1.625,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,4,6,,,2
6559399-9-0,dense,oracle_best_strategy,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,4,True,False,4,1.625,0.0,0.0,1.0,1.0,0.25,1.0,4,1.0,0.25,1.0,1.625,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,4,6,,,2
6559399-9-0,hybrid,original_only,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,6,True,False,6,1.5833333333333333,0.0,0.0,0.0,1.0,0.16666666666666666,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,4,6,,,2
6559399-9-0,hybrid,always_keyword,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,keyword,ellipsis,6,True,False,7,1.5714285714285714,-0.011904761904761862,0.0,0.0,1.0,0.14285714285714285,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,-1,0.0,-0.023809523809523808,0.0,-0.011904761904761862,4,4,1.0,1.0,,4,6,,,2
6559399-9-0,hybrid,always_expanded,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,expanded,ellipsis,6,True,False,7,1.5714285714285714,-0.011904761904761862,0.0,0.0,1.0,0.14285714285714285,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,-1,0.0,-0.023809523809523808,0.0,-0.011904761904761862,4,8,1.0,1.0,,4,6,,,2
6559399-9-0,hybrid,always_prompt,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,prompt,ellipsis,6,True,False,8,1.5625,-0.02083333333333326,0.0,0.0,1.0,0.125,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,-2,0.0,-0.04166666666666666,0.0,-0.02083333333333326,4,10,1.0,1.0,,4,6,,,2
6559399-9-0,hybrid,always_structured,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,structured,ellipsis,6,True,False,8,1.5025,-0.08083333333333331,0.0,0.0,1.0,0.125,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,-2,0.0,-0.04166666666666666,0.0,-0.08083333333333331,4,15,1.0,1.0,,4,6,,,2
6559399-9-0,hybrid,always_llm,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,llm,ellipsis,6,True,False,7,1.4714285714285713,-0.11190476190476195,0.0,0.0,1.0,0.14285714285714285,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,-1,0.0,-0.023809523809523808,0.0,-0.11190476190476195,4,5,0.5,0.5,,4,6,,,2
6559399-9-0,hybrid,failure_type_policy,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,structured,ellipsis,6,True,False,8,1.5025,-0.08083333333333331,0.0,0.0,1.0,0.125,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,-2,0.0,-0.04166666666666666,0.0,-0.08083333333333331,4,15,1.0,1.0,,4,6,,,2
6559399-9-0,hybrid,reward_selected,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,6,True,False,6,1.5833333333333333,0.0,0.0,0.0,1.0,0.16666666666666666,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,4,6,,,2
6559399-9-0,hybrid,oracle_best_strategy,train,ellipsis|short|rank_6_10|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,6,True,False,6,1.5833333333333333,0.0,0.0,0.0,1.0,0.16666666666666666,1.0,6,1.0,0.16666666666666666,1.0,1.5833333333333333,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,4,6,,,2
6559399-9-2,bm25,original_only,train,unlabeled|medium|rank_1|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,original,unlabeled,1,True,False,1,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,0.0,7,7,1.0,1.0,1,,1,,0,
6559399-9-2,bm25,always_keyword,train,unlabeled|medium|rank_1|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,keyword,unlabeled,1,True,False,1,1.9142857142857144,-0.08571428571428563,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,-0.08571428571428563,7,4,0.5714285714285714,0.5714285714285714,1,,1,,0,
6559399-9-2,bm25,always_expanded,train,unlabeled|medium|rank_1|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,expanded,unlabeled,1,True,False,1,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,0.0,7,11,1.0,1.0,1,,1,,0,
6559399-9-2,bm25,always_prompt,train,unlabeled|medium|rank_1|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,prompt,unlabeled,1,True,False,2,1.73,-0.27,0.0,1.0,1.0,0.5,1.0,1,1.0,1.0,1.0,2.0,-1,0.0,-0.5,0.0,-0.27,7,13,1.0,1.0,1,,1,,0,
6559399-9-2,bm25,always_structured,train,unlabeled|medium|rank_1|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,structured,unlabeled,1,True,False,1,1.88,-0.1200000000000001,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,-0.1200000000000001,7,18,1.0,1.0,1,,1,,0,
6559399-9-2,bm25,always_llm,train,unlabeled|medium|rank_1|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,llm,unlabeled,1,True,False,1,1.9428571428571428,-0.05714285714285716,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,-0.05714285714285716,7,8,0.7142857142857143,0.7142857142857143,1,,1,,0,
6559399-9-2,bm25,failure_type_policy,train,unlabeled|medium|rank_1|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,original,unlabeled,1,True,False,1,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,0.0,7,7,1.0,1.0,1,,1,,0,
6559399-9-2,bm25,reward_selected,train,unlabeled|medium|rank_1|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,original,unlabeled,1,True,False,1,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,0.0,7,7,1.0,1.0,1,,1,,0,
6559399-9-2,bm25,oracle_best_strategy,train,unlabeled|medium|rank_1|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,original,unlabeled,1,True,False,1,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,0.0,7,7,1.0,1.0,1,,1,,0,
6559399-9-2,dense,original_only,train,unlabeled|medium|failed|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,original,unlabeled,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,7,7,1.0,1.0,1,,1,,0,
6559399-9-2,dense,always_keyword,train,unlabeled|medium|failed|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,keyword,unlabeled,,False,True,,0.41428571428571426,-0.08571428571428574,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,-0.08571428571428574,7,4,0.5714285714285714,0.5714285714285714,1,,1,,0,
6559399-9-2,dense,always_expanded,train,unlabeled|medium|failed|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,expanded,unlabeled,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,7,11,1.0,1.0,1,,1,,0,
6559399-9-2,dense,always_prompt,train,unlabeled|medium|failed|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,prompt,unlabeled,,False,True,,-0.02,-0.52,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,-1.0,-0.52,7,13,1.0,1.0,1,,1,,0,
6559399-9-2,dense,always_structured,train,unlabeled|medium|failed|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,structured,unlabeled,,False,True,,0.38,-0.12,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,-0.12,7,18,1.0,1.0,1,,1,,0,
6559399-9-2,dense,always_llm,train,unlabeled|medium|failed|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,llm,unlabeled,,False,True,,0.44285714285714284,-0.05714285714285716,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,-0.05714285714285716,7,8,0.7142857142857143,0.7142857142857143,1,,1,,0,
6559399-9-2,dense,failure_type_policy,train,unlabeled|medium|failed|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,original,unlabeled,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,7,7,1.0,1.0,1,,1,,0,
6559399-9-2,dense,reward_selected,train,unlabeled|medium|failed|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,original,unlabeled,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,7,7,1.0,1.0,1,,1,,0,
6559399-9-2,dense,oracle_best_strategy,train,unlabeled|medium|failed|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,original,unlabeled,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,7,7,1.0,1.0,1,,1,,0,
6559399-9-2,hybrid,original_only,train,unlabeled|medium|rank_1|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,original,unlabeled,1,True,False,1,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,0.0,7,7,1.0,1.0,1,,1,,0,
6559399-9-2,hybrid,always_keyword,train,unlabeled|medium|rank_1|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,keyword,unlabeled,1,True,False,1,1.9142857142857144,-0.08571428571428563,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,-0.08571428571428563,7,4,0.5714285714285714,0.5714285714285714,1,,1,,0,
6559399-9-2,hybrid,always_expanded,train,unlabeled|medium|rank_1|failed_count_1|failed_dense|no_digit|no_latin|no_long_token,expanded,unlabeled,1,True,False,1,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,0.0,7,11,1.0,1.0,1,,1,,0,
